Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Jason,8.0,10.0,10.0,28.0,1,0,0,148.14,9,0,0
1,Ted,8.0,9.0,9.0,26.0,1,0,0,135.80,8,1,0
1,Tyler,8.0,8.0,8.0,24.0,1,0,0,121.62,7,2,0
1,Peter,8.0,7.0,7.0,22.0,1,0,0,108.44,6,3,0
1,Lanny,3.0,6.0,6.0,15.0,0,1,0,106.14,5,4,0
1,Matt,8.0,3.0,3.0,14.0,1,0,0,102.88,2,7,0
1,Ben,3.0,5.0,5.0,13.0,0,1,0,105.64,4,5,0
1,Joey,3.0,4.0,4.0,11.0,0,1,0,104.72,3,6,0
1,John,3.0,2.0,2.0,7.0,0,1,0,99.32,1,8,0
1,Vernon,3.0,1.0,1.0,5.0,0,1,0,93.60,0,9,0
2,Tyler,8.5,10.0,10.0,28.5,2,0,0,303.36,16,2,0
2,Peter,8.5,9.0,9.0,26.5,2,0,0,253.76,14,4,0
2,Ted,8.5,7.0,7.0,22.5,2,0,0,244.08,11,7,0
2,Lanny,5.5,8.0,8.0,21.5,1,1,0,250.64,12,6,0
2,Jason,5.5,5.0,5.5,16.0,1,1,0,231.14,9,9,0
2,Matt,8.5,3.0,3.5,15.0,2,0,0,217.64,6,12,0
2,Joey,2.5,6.0,5.5,14.0,0,2,0,241.78,9,9,0
2,Vernon,2.5,4.0,2.0,8.5,0,2,0,228.98,5,13,0
2,Ben,2.5,2.0,3.5,8.0,0,2,0,208.68,6,12,0
2,John,2.5,1.0,1.0,4.5,0,2,0,194.00,2,16,0
3,Peter,9.5,8.0,10.0,27.5,3,0,0,390.86,22,5,0
3,Tyler,7.0,10.0,9.0,26.0,2,1,0,415.34,21,6,0
3,Lanny,7.0,7.0,7.0,21.0,2,1,0,361.78,15,12,0
3,Joey,4.0,9.0,8.0,21.0,1,2,0,395.36,18,9,0
3,Matt,9.5,4.0,5.5,19.0,3,0,0,346.34,13,14,0
3,Ted,7.0,6.0,5.5,18.5,2,1,0,355.20,13,14,0
3,Vernon,1.5,5.0,4.0,10.5,0,3,0,346.82,11,16,0
3,Jason,4.0,3.0,3.0,10.0,1,2,0,316.14,9,18,0
3,John,4.0,2.0,1.0,7.0,1,2,0,305.66,6,21,0
3,Ben,1.5,1.0,2.0,4.5,0,3,0,304.84,7,20,0
4,Peter,9.5,10.0,10.0,29.5,4,0,0,543.00,30,6,0
4,Tyler,7.5,9.0,9.0,25.5,3,1,0,538.28,25,11,0
4,Ted,7.5,8.0,8.0,23.5,3,1,0,529.80,22,14,0
4,Matt,9.5,5.0,6.0,20.5,4,0,0,478.76,18,18,0
4,Joey,3.5,7.0,7.0,17.5,1,3,0,517.54,21,15,0
4,Vernon,3.5,6.0,5.0,14.5,1,3,0,485.76,17,19,0
4,Lanny,6.0,4.0,4.0,14.0,2,2,0,464.38,16,20,0
4,John,3.5,3.0,3.0,9.5,1,3,0,454.40,13,23,0
4,Jason,3.5,1.0,1.5,6.0,1,3,0,403.40,9,27,0
4,Ben,1.0,2.0,1.5,4.5,0,4,0,419.84,9,27,0
5,Tyler,8.5,10.0,10.0,28.5,4,1,0,692.94,33,12,0
5,Ted,8.5,9.0,8.0,25.5,4,1,0,671.94,29,16,0
5,Peter,8.5,7.0,9.0,24.5,4,1,0,653.18,30,15,0
5,Vernon,4.5,8.0,7.0,19.5,2,3,0,654.40,26,19,0
5,Matt,8.5,5.0,4.5,18.0,4,1,0,594.82,19,26,0
5,Joey,4.5,6.0,6.0,16.5,2,3,0,639.34,23,22,0
5,Lanny,4.5,4.0,4.5,13.0,2,3,0,593.64,19,26,0
5,John,4.5,3.0,3.0,10.5,2,3,0,587.88,18,27,0
5,Jason,2.0,1.0,2.0,5.0,1,4,0,541.24,15,30,0
5,Ben,1.0,2.0,1.0,4.0,0,5,0,552.28,13,32,0
6,Ted,9.0,10.0,9.0,28.0,5,1,0,804.52,35,19,0
6,Peter,9.0,9.0,10.0,28.0,5,1,0,791.20,38,16,0
6,Tyler,7.0,8.0,8.0,23.0,4,2,0,788.92,34,20,0
6,Matt,9.0,6.0,6.5,21.5,5,1,0,740.14,28,26,0
6,Joey,3.5,7.0,6.5,17.0,2,4,0,770.72,28,26,0
6,John,6.0,4.0,4.0,14.0,3,3,0,724.76,25,29,0
6,Vernon,3.5,5.0,5.0,13.5,2,4,0,735.18,26,28,0
6,Lanny,3.5,3.0,3.0,9.5,2,4,0,713.68,22,32,0
6,Jason,3.5,2.0,2.0,7.5,2,4,0,672.46,19,35,0
6,Ben,1.0,1.0,1.0,3.0,0,6,0,670.58,15,39,0
7,Tyler,8.5,10.0,10.0,28.5,5,2,0,944.46,42,21,0
7,Ted,8.5,9.0,8.0,25.5,5,2,0,922.34,38,25,0
7,Peter,8.5,8.0,9.0,25.5,5,2,0,908.96,40,23,0
7,Matt,8.5,7.0,7.0,22.5,5,2,0,891.60,35,28,0
7,John,6.0,5.0,6.0,17.0,4,3,0,889.46,34,29,0
7,Joey,4.5,6.0,5.0,15.5,3,4,0,890.14,33,30,0
7,Lanny,4.5,3.0,3.5,11.0,3,4,0,831.88,26,37,0
7,Vernon,2.5,4.0,3.5,10.0,2,5,0,837.36,26,37,0
7,Ben,1.0,2.0,2.0,5.0,1,6,0,804.70,21,42,0
7,Jason,2.5,1.0,1.0,4.5,2,5,0,780.88,20,43,0
8,Tyler,9.0,10.0,10.0,29.0,6,2,0,1130.44,51,21,0
8,Matt,9.0,8.0,7.5,24.5,6,2,0,1033.14,42,30,0
8,John,6.5,9.0,7.5,23.0,5,3,0,1047.06,42,30,0
8,Peter,9.0,5.0,9.0,23.0,6,2,0,1016.14,43,29,0
8,Ted,6.5,6.0,6.0,18.5,5,3,0,1016.42,40,32,0
8,Joey,5.0,7.0,5.0,17.0,4,4,0,1026.38,39,33,0
8,Vernon,2.5,4.0,4.0,10.5,2,6,0,968.84,31,41,0
8,Lanny,4.0,3.0,3.0,10.0,3,5,0,911.86,26,46,0
8,Jason,2.5,2.0,2.0,6.5,2,6,0,909.52,24,48,0
8,Ben,1.0,1.0,1.0,3.0,1,7,0,897.98,22,50,0
9,Tyler,9.0,10.0,10.0,29.0,7,2,0,1293.80,60,21,0
9,Peter,9.0,7.0,9.0,25.0,7,2,0,1144.78,50,31,0
9,Matt,9.0,8.0,7.5,24.5,7,2,0,1156.70,46,35,0
9,John,6.0,9.0,6.0,21.0,5,4,0,1167.22,45,36,0
9,Ted,7.0,6.0,7.5,20.5,6,3,0,1143.18,46,35,0
9,Joey,5.0,5.0,5.0,15.0,4,5,0,1124.36,40,41,0
9,Vernon,2.0,4.0,4.0,10.0,2,7,0,1094.18,36,45,0
9,Lanny,3.5,3.0,3.0,9.5,3,6,0,1044.12,34,47,0
9,Jason,3.5,2.0,2.0,7.5,3,6,0,1020.48,26,55,0
9,Ben,1.0,1.0,1.0,3.0,1,8,0,991.94,22,59,0
10,Tyler,8.0,10.0,10.0,28.0,7,3,0,1412.00,62,28,0
10,Peter,9.5,9.0,9.0,27.5,8,2,0,1311.62,58,32,0
10,Matt,9.5,7.0,8.0,24.5,8,2,0,1288.32,53,37,0
10,Joey,5.5,8.0,7.0,20.5,5,5,0,1303.16,49,41,0
10,John,5.5,6.0,6.0,17.5,5,5,0,1286.14,48,42,0
10,Ted,7.0,5.0,5.0,17.0,6,4,0,1258.14,47,43,0
10,Vernon,3.0,4.0,4.0,11.0,3,7,0,1224.62,42,48,0
10,Jason,3.0,3.0,2.0,8.0,3,7,0,1150.64,31,59,0
10,Lanny,3.0,1.0,3.0,7.0,3,7,0,1110.68,34,56,0
10,Ben,1.0,2.0,1.0,4.0,2,8,0,1119.20,26,64,0
11,Tyler,8.0,10.0,10.0,28.0,8,3,0,1547.64,69,30,0
11,Matt,9.5,9.0,8.0,26.5,9,2,0,1435.82,62,37,0
11,Peter,9.5,8.0,9.0,26.5,9,2,0,1428.54,63,36,0
11,Ted,6.5,6.0,7.0,19.5,6,5,0,1400.78,55,44,0
11,Joey,6.5,7.0,6.0,19.5,6,5,0,1406.12,53,46,0
11,John,5.0,5.0,5.0,15.0,5,6,0,1385.54,51,48,0
11,Vernon,2.5,4.0,4.0,10.5,3,8,0,1318.74,43,56,0
11,Jason,4.0,3.0,3.0,10.0,4,7,0,1277.52,37,62,0
11,Lanny,2.5,1.0,2.0,5.5,3,8,0,1166.36,34,65,0
11,Ben,1.0,2.0,1.0,4.0,2,9,0,1214.82,28,71,0
12,Tyler,9.0,10.0,10.0,29.0,9,3,0,1683.86,77,31,0
12,Matt,9.0,8.0,8.5,25.5,9,3,0,1550.08,65,43,0
12,Peter,9.0,7.0,8.5,24.5,9,3,0,1534.48,65,43,0
12,Ted,6.5,9.0,7.0,22.5,7,5,0,1555.66,64,44,0
12,Joey,6.5,6.0,6.0,18.5,7,5,0,1522.84,58,50,0
12,John,4.5,5.0,5.0,14.5,5,7,0,1501.06,55,53,0
12,Jason,4.5,3.0,3.5,11.0,5,7,0,1403.90,44,64,0
12,Vernon,2.0,4.0,3.5,9.5,3,9,0,1413.22,44,64,0
12,Ben,2.0,2.0,1.5,5.5,3,9,0,1338.92,34,74,0
12,Lanny,2.0,1.0,1.5,4.5,3,9,0,1250.54,34,74,0
13,Tyler,9.5,10.0,10.0,29.5,10,3,0,1805.04,82,35,0
13,Peter,9.5,7.0,9.0,25.5,10,3,0,1679.38,74,43,0
13,Ted,7.0,9.0,7.5,23.5,8,5,0,1691.82,72,45,0
13,Matt,8.0,8.0,7.5,23.5,9,4,0,1680.66,72,45,0
13,Joey,6.0,6.0,6.0,18.0,7,6,0,1635.64,62,55,0
13,John,4.5,5.0,5.0,14.5,5,8,0,1594.10,56,61,0
13,Jason,4.5,4.0,4.0,12.5,5,8,0,1532.14,50,67,0
13,Vernon,2.5,3.0,3.0,8.5,4,9,0,1513.40,46,71,0
13,Ben,2.5,2.0,2.0,6.5,4,9,0,1442.80,37,80,0
13,Lanny,1.0,1.0,1.0,3.0,3,10,0,1339.80,34,83,0
14,Tyler,10.0,10.0,10.0,30.0,11,3,0,1899.76,84,42,0
14,Matt,8.0,9.0,9.0,26.0,9,5,0,1831.06,80,46,0
14,Peter,9.0,8.0,8.0,25.0,10,4,0,1777.48,77,49,0
14,Ted,6.5,7.0,7.0,20.5,8,6,0,1755.86,73,53,0
14,Joey,6.5,6.0,6.0,18.5,8,6,0,1742.24,66,60,0
14,Jason,5.0,4.0,4.5,13.5,6,8,0,1669.34,56,70,0
14,Vernon,3.5,5.0,3.0,11.5,5,9,0,1685.20,55,71,0
14,John,3.5,3.0,4.5,11.0,5,9,0,1655.38,56,70,0
14,Ben,1.5,2.0,2.0,5.5,4,10,0,1556.30,42,84,0
14,Lanny,1.5,1.0,1.0,3.5,4,10,0,1480.42,41,85,0
