Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Vernon,8.0,10.0,10.0,28.0,1,0,0,133.94,9,0,0
1,Matt,8.0,9.0,9.0,26.0,1,0,0,132.28,8,1,0
1,Peter,8.0,8.0,8.0,24.0,1,0,0,126.76,7,2,0
1,Joey,8.0,6.0,6.0,20.0,1,0,0,119.70,5,4,0
1,Lanny,3.0,7.0,7.0,17.0,0,1,0,121.26,6,3,0
1,Ben,8.0,4.0,4.0,16.0,1,0,0,105.42,3,6,0
1,Tyler,3.0,5.0,5.0,13.0,0,1,0,105.98,4,5,0
1,Jason,3.0,3.0,3.0,9.0,0,1,0,104.74,2,7,0
1,Ted,3.0,2.0,2.0,7.0,0,1,0,96.20,1,8,0
1,John,3.0,1.0,1.0,5.0,0,1,0,92.94,0,9,0
2,Peter,8.5,8.0,9.5,26.0,2,0,0,253.48,13,5,0
2,Joey,8.5,10.0,7.5,26.0,2,0,0,261.38,12,6,0
2,Tyler,5.5,9.0,9.5,24.0,1,1,0,255.42,13,5,0
2,Matt,8.5,7.0,7.5,23.0,2,0,0,253.20,12,6,0
2,Ben,8.5,6.0,6.0,20.5,2,0,0,250.42,11,7,0
2,Vernon,5.5,5.0,5.0,15.5,1,1,0,222.90,9,9,0
2,Lanny,2.5,4.0,4.0,10.5,0,2,0,222.44,8,10,0
2,John,2.5,3.0,2.5,8.0,0,2,0,216.70,5,13,0
2,Jason,2.5,2.0,2.5,7.0,0,2,0,212.70,5,13,0
2,Ted,2.5,1.0,1.0,4.5,0,2,0,196.86,2,16,0
3,Matt,7.5,10.0,10.0,27.5,2,1,0,399.64,19,8,0
3,Joey,9.5,9.0,8.5,27.0,3,0,0,383.72,17,10,0
3,Peter,9.5,8.0,8.5,26.0,3,0,0,373.84,17,10,0
3,Ben,7.5,5.0,6.5,19.0,2,1,0,361.36,14,13,0
3,Jason,4.0,7.0,4.5,15.5,1,2,0,371.02,13,14,0
3,Lanny,4.0,4.0,6.5,14.5,1,2,0,356.52,14,13,0
3,Ted,4.0,6.0,3.0,13.0,1,2,0,367.40,11,16,0
3,Tyler,4.0,1.0,4.5,9.5,1,2,0,323.14,13,14,0
3,Vernon,4.0,2.0,2.0,8.0,1,2,0,324.54,10,17,0
3,John,1.0,3.0,1.0,5.0,0,3,0,326.38,7,20,0
4,Joey,10.0,9.0,9.0,28.0,4,0,0,513.68,24,12,0
4,Matt,5.5,10.0,10.0,25.5,2,2,0,535.58,27,9,0
4,Ben,8.5,8.0,8.0,24.5,3,1,0,507.66,23,13,0
4,Peter,8.5,7.0,7.0,22.5,3,1,0,492.90,22,14,0
4,Jason,5.5,6.0,6.0,17.5,2,2,0,491.10,19,17,0
4,Lanny,5.5,4.0,4.5,14.0,2,2,0,454.12,16,20,0
4,Ted,5.5,5.0,3.0,13.5,2,2,0,477.48,15,21,0
4,Tyler,2.5,3.0,4.5,10.0,1,3,0,427.22,16,20,0
4,Vernon,2.5,1.0,2.0,5.5,1,3,0,418.82,10,26,0
4,John,1.0,2.0,1.0,4.0,0,4,0,422.82,8,28,0
5,Matt,7.0,10.0,10.0,27.0,3,2,0,675.32,34,11,0
5,Peter,9.5,7.0,8.5,25.0,4,1,0,621.10,27,18,0
5,Ben,7.0,8.0,8.5,23.5,3,2,0,627.16,27,18,0
5,Ted,7.0,9.0,6.0,22.0,3,2,0,652.20,24,21,0
5,Joey,9.5,5.0,6.0,20.5,4,1,0,602.12,24,21,0
5,Jason,4.0,6.0,4.0,14.0,2,3,0,609.80,22,23,0
5,Tyler,4.0,4.0,6.0,14.0,2,3,0,576.62,24,21,0
5,Lanny,4.0,3.0,3.0,10.0,2,3,0,559.58,17,28,0
5,John,1.5,2.0,2.0,5.5,1,4,0,556.04,14,31,0
5,Vernon,1.5,1.0,1.0,3.5,1,4,0,535.36,12,33,0
6,Peter,9.5,8.0,9.5,27.0,5,1,0,762.16,35,19,0
6,Ted,8.0,10.0,6.5,24.5,4,2,0,792.30,30,24,0
6,Matt,5.5,9.0,9.5,24.0,3,3,0,781.50,35,19,0
6,Jason,5.5,7.0,8.0,20.5,3,3,0,752.00,31,23,0
6,Ben,5.5,6.0,6.5,18.0,3,3,0,738.84,30,24,0
6,Joey,9.5,4.0,4.0,17.5,5,1,0,711.74,26,28,0
6,Tyler,3.0,5.0,5.0,13.0,2,4,0,711.98,29,25,0
