Week 1
Traditional Ranking,Record,Points,Breakdown,Total
John,9.0,10.0,10.0,29.0
Matt,8.0,8.0,8.0,24.0
Tyler,10.0,6.0,6.0,22.0
Vernon,5.5,9.0,7.0,21.5
Ben,5.5,7.0,9.0,21.5
Peter,5.5,5.0,5.0,15.5
Lanny,5.5,3.0,3.0,11.5
Joey,1.0,4.0,4.0,9.0
Ted,2.5,1.0,2.0,5.5
Jason,2.5,2.0,1.0,5.5

Week 11
Traditional Ranking,Record,Points,Breakdown,Total
John,9.5,10.0,10.0,29.5
Vernon,7.5,9.0,9.0,25.5
Tyler,9.5,8.0,7.5,25.0
Matt,7.5,6.0,6.0,19.5
Ben,5.0,7.0,7.5,19.5
Peter,5.0,5.0,5.0,15.0
Lanny,5.0,1.0,3.0,9.0
Joey,1.0,4.0,4.0,9.0
Jason,2.5,3.0,2.0,7.5
Ted,2.5,2.0,1.0,5.5

Week 12
Traditional Ranking,Record,Points,Breakdown,Total
John,10.0,10.0,10.0,30.0
Tyler,9.0,8.0,9.0,26.0
Matt,8.0,7.0,7.5,22.5
Vernon,6.0,9.0,6.0,21.0
Ben,6.0,6.0,7.5,19.5
Peter,6.0,5.0,5.0,16.0
Joey,2.0,4.0,4.0,10.0
Jason,2.0,3.0,2.5,7.5
Lanny,4.0,1.0,2.5,7.5
Ted,2.0,2.0,1.0,5.0

Week 13
Traditional Ranking,Record,Points,Breakdown,Total
John,10.0,10.0,10.0,30.0
Ben,7.0,8.0,9.0,24.0
Tyler,9.0,7.0,7.0,23.0
Vernon,5.0,9.0,7.0,21.0
Matt,7.0,6.0,7.0,20.0
Peter,7.0,5.0,5.0,17.0
Joey,1.5,4.0,4.0,9.5
Ted,3.5,3.0,1.0,7.5
Lanny,3.5,1.0,3.0,7.5
Jason,1.5,2.0,2.0,5.5

