Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.0,10.0,10.0,28.0
Joey,8.0,8.0,8.0,24.0
Peter,8.0,7.0,7.0,22.0
Vernon,3.0,9.0,9.0,21.0
Ben,8.0,6.0,6.0,20.0
Matt,3.0,5.0,5.0,13.0
Lanny,8.0,2.0,2.0,12.0
John,3.0,4.0,4.0,11.0
Ted,3.0,3.0,3.0,9.0
Jason,3.0,1.0,1.0,5.0

Week 2
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.5,10.0,9.0,27.5
Joey,8.5,9.0,10.0,27.5
Ben,8.5,7.0,7.5,23.0
Peter,8.5,6.0,7.5,22.0
Vernon,2.5,8.0,5.5,16.0
John,5.5,5.0,5.5,16.0
Ted,2.5,4.0,4.0,10.5
Matt,2.5,3.0,3.0,8.5
Lanny,5.5,1.0,1.0,7.5
Jason,2.5,2.0,2.0,6.5

Week 3
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,9.0,10.0,9.5,28.5
Ben,9.0,9.0,9.5,27.5
Peter,9.0,8.0,7.5,24.5
Joey,7.0,7.0,7.5,21.5
John,5.0,4.0,6.0,15.0
Ted,5.0,5.0,4.5,14.5
Vernon,2.0,6.0,4.5,12.5
Matt,2.0,3.0,3.0,8.0
Lanny,5.0,2.0,1.0,8.0
Jason,2.0,1.0,2.0,5.0

Week 4
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,10.0,10.0,10.0,30.0
Ben,8.5,9.0,9.0,26.5
John,5.5,8.0,8.0,21.5
Peter,8.5,7.0,6.0,21.5
Joey,5.5,6.0,7.0,18.5
Ted,5.5,5.0,5.0,15.5
Vernon,3.0,4.0,4.0,11.0
Lanny,5.5,2.0,2.0,9.5
Matt,1.5,3.0,3.0,7.5
Jason,1.5,1.0,1.0,3.5

Week 5
Traditional Ranking,Record,Points,Breakdown,Total
Ben,9.0,10.0,10.0,29.0
Tyler,10.0,9.0,9.0,28.0
John,5.0,8.0,8.0,21.0
Peter,7.5,4.5,5.5,17.5
Joey,5.0,3.0,7.0,15.0
Vernon,2.0,7.0,5.5,14.5
Ted,5.0,4.5,4.0,13.5
Lanny,7.5,2.0,2.0,11.5
Matt,2.0,6.0,3.0,11.0
Jason,2.0,1.0,1.0,4.0

Week 6
Traditional Ranking,Record,Points,Breakdown,Total
Ben,9.0,10.0,10.0,29.0
Tyler,10.0,9.0,9.0,28.0
John,7.0,7.0,8.0,22.0
Vernon,3.5,8.0,7.0,18.5
Peter,7.0,5.0,6.0,18.0
Matt,3.5,6.0,4.5,14.0
Lanny,7.0,3.0,3.0,13.0
Joey,3.5,4.0,4.5,12.0
Ted,3.5,2.0,2.0,7.5
Jason,1.0,1.0,1.0,3.0

Week 7
Traditional Ranking,Record,Points,Breakdown,Total
Ben,9.0,10.0,10.0,29.0
Tyler,10.0,9.0,8.5,27.5
John,8.0,8.0,8.5,24.5
Vernon,5.5,7.0,7.0,19.5
Matt,5.5,6.0,5.5,17.0
Peter,5.5,5.0,5.5,16.0
Joey,2.0,4.0,4.0,10.0
Lanny,5.5,1.0,3.0,9.5
Ted,2.0,3.0,2.0,7.0
Jason,2.0,2.0,1.0,5.0

Week 8
Traditional Ranking,Record,Points,Breakdown,Total
John,8.5,10.0,10.0,28.5
Ben,8.5,9.0,9.0,26.5
Tyler,10.0,8.0,8.0,26.0
Matt,6.0,6.0,7.0,19.0
Vernon,6.0,7.0,5.5,18.5
Peter,6.0,5.0,5.5,16.5
Jason,3.5,3.0,3.0,9.5
Joey,1.5,4.0,4.0,9.5
Lanny,3.5,2.0,2.0,7.5
Ted,1.5,1.0,1.0,3.5

Week 9
Traditional Ranking,Record,Points,Breakdown,Total
John,9.0,10.0,10.0,29.0
Tyler,10.0,9.0,8.0,27.0
Ben,6.5,8.0,9.0,23.5
Matt,6.5,6.0,7.0,19.5
Vernon,6.5,7.0,6.0,19.5
Peter,6.5,5.0,5.0,16.5
Lanny,4.0,3.0,3.0,10.0
Joey,1.5,4.0,4.0,9.5
Jason,3.0,2.0,2.0,7.0
Ted,1.5,1.0,1.0,3.5

Week 10
Traditional Ranking,Record,Points,Breakdown,Total
