Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Ben,8.0,10.0,10.0,28.0,1,0,0,152.00,9,0,0
1,Matt,8.0,9.0,9.0,26.0,1,0,0,136.00,8,1,0
1,Peter,8.0,8.0,8.0,24.0,1,0,0,134.00,7,2,0
1,John,8.0,7.0,7.0,22.0,1,0,0,129.00,6,3,0
1,Ty,8.0,6.0,6.0,20.0,1,0,0,117.00,5,4,0
1,Joey,3.0,5.0,5.0,13.0,0,1,0,111.00,4,5,0
1,Vernon,3.0,4.0,4.0,11.0,0,1,0,104.00,3,6,0
1,Tyler,3.0,3.0,3.0,9.0,0,1,0,99.00,2,7,0
1,Ted,3.0,2.0,2.0,7.0,0,1,0,91.00,1,8,0
1,Lanny,3.0,1.0,1.0,5.0,0,1,0,82.00,0,9,0
2,Ben,9.0,10.0,10.0,29.0,2,0,0,286.00,18,0,0
2,Ty,9.0,7.0,9.0,25.0,2,0,0,244.00,12,6,0
2,John,5.5,9.0,8.0,22.5,1,1,0,249.00,11,7,0
2,Peter,9.0,8.0,5.5,22.5,2,0,0,248.00,9,9,0
2,Tyler,5.5,5.0,7.0,17.5,1,1,0,231.00,10,8,0
2,Matt,5.5,6.0,5.5,17.0,1,1,0,233.00,9,9,0
2,Ted,5.5,3.0,3.0,11.5,1,1,0,213.00,7,11,0
2,Joey,2.0,4.0,4.0,10.0,0,2,0,229.00,8,10,0
2,Lanny,2.0,2.0,1.5,5.5,0,2,0,199.00,3,15,0
2,Vernon,2.0,1.0,1.5,4.5,0,2,0,189.00,3,15,0
3,Ben,10.0,10.0,10.0,30.0,3,0,0,455.00,25,2,0
3,Matt,6.5,9.0,9.0,24.5,2,1,0,404.00,17,10,0
3,Ted,6.5,8.0,7.0,21.5,2,1,0,400.00,16,11,0
3,Tyler,6.5,7.0,7.0,20.5,2,1,0,380.00,16,11,0
3,John,6.5,6.0,7.0,19.5,2,1,0,371.00,16,11,0
3,Peter,6.5,5.0,3.5,15.0,2,1,0,357.00,11,16,0
3,Ty,6.5,3.0,5.0,14.5,2,1,0,326.00,13,14,0
3,Joey,2.0,4.0,3.5,9.5,0,3,0,343.00,11,16,0
3,Vernon,2.0,2.0,2.0,6.0,0,3,0,306.00,7,20,0
3,Lanny,2.0,1.0,1.0,4.0,0,3,0,278.00,3,24,0
4,Ben,10.0,10.0,10.0,30.0,4,0,0,587.00,34,2,0
4,Ted,7.5,9.0,8.0,24.5,3,1,0,521.00,22,13,1
4,John,7.5,7.0,9.0,23.5,3,1,0,497.00,24,12,0
4,Matt,4.5,8.0,7.0,19.5,2,2,0,503.00,21,15,0
4,Ty,7.5,4.0,6.0,17.5,3,1,0,447.00,19,16,1
4,Peter,7.5,5.0,3.0,15.5,3,1,0,454.00,14,22,0
4,Tyler,4.5,6.0,4.5,15.0,2,2,0,463.00,16,20,0
4,Joey,2.0,3.0,4.5,9.5,0,4,0,444.00,16,20,0
4,Vernon,2.0,2.0,2.0,6.0,0,4,0,390.00,8,27,1
4,Lanny,2.0,1.0,1.0,4.0,0,4,0,362.00,4,31,1
5,Ben,10.0,10.0,10.0,30.0,5,0,0,720.00,41,4,0
5,Ted,9.0,9.0,8.0,26.0,4,1,0,650.00,27,17,1
5,Matt,6.0,8.0,8.0,22.0,3,2,0,634.00,27,18,0
5,John,6.0,7.0,8.0,21.0,3,2,0,618.00,27,18,0
5,Tyler,6.0,5.0,5.0,16.0,3,2,0,598.00,24,21,0
5,Joey,3.0,6.0,6.0,15.0,1,4,0,599.00,25,20,0
5,Peter,6.0,4.0,3.0,13.0,3,2,0,546.00,15,30,0
5,Ty,6.0,3.0,4.0,13.0,3,2,0,545.00,21,23,1
5,Lanny,1.5,2.0,1.5,5.0,0,5,0,485.00,8,36,1
5,Vernon,1.5,1.0,1.5,4.0,0,5,0,480.00,8,36,1
6,Ben,10.0,10.0,10.0,30.0,6,0,0,880.00,48,6,0
6,Ted,9.0,9.0,9.0,27.0,5,1,0,814.00,36,17,1
6,Matt,5.0,8.0,8.0,21.0,3,3,0,795.00,35,19,0
6,John,5.0,7.0,6.5,18.5,3,3,0,728.00,30,24,0
6,Tyler,7.5,5.0,5.0,17.5,4,2,0,700.00,26,28,0
6,Ty,7.5,4.0,4.0,15.5,4,2,0,665.00,25,28,1
6,Joey,2.5,6.0,6.5,15.0,1,5,0,725.00,30,24,0
6,Peter,5.0,3.0,3.0,11.0,3,3,0,618.00,16,38,0
6,Lanny,2.5,2.0,2.0,6.5,1,5,0,612.00,14,39,1
6,Vernon,1.0,1.0,1.0,3.0,0,6,0,550.00,8,45,1
7,Ben,9.5,10.0,10.0,29.5,6,1,0,985.00,49,14,0
7,Ted,9.5,8.0,8.0,25.5,6,1,0,927.00,39,23,1
7,Matt,5.5,9.0,9.0,23.5,4,3,0,946.00,44,19,0
7,John,5.5,7.0,7.0,19.5,4,3,0,844.00,35,28,0
7,Tyler,8.0,5.0,4.0,17.0,5,2,0,815.00,30,33,0
7,Ty,5.5,4.0,6.0,15.5,4,3,0,808.00,33,29,1
7,Joey,2.5,6.0,5.0,13.5,1,6,0,834.00,32,31,0
7,Peter,5.5,3.0,3.0,11.5,4,3,0,758.00,23,40,0
7,Lanny,2.5,2.0,2.0,6.5,1,6,0,735.00,20,42,1
7,Vernon,1.0,1.0,1.0,3.0,0,7,0,609.00,8,54,1
8,Ben,9.0,10.0,9.5,28.5,6,2,0,1082.00,50,22,0
8,Ted,9.0,8.0,8.0,25.0,6,2,0,1066.00,47,24,1
8,Matt,6.0,9.0,9.5,24.5,5,3,0,1079.00,50,22,0
8,Tyler,9.0,6.0,6.0,21.0,6,2,0,952.00,37,35,0
8,John,6.0,7.0,7.0,20.0,5,3,0,1044.00,44,28,0
8,Joey,3.0,5.0,5.0,13.0,2,6,0,933.00,34,37,1
8,Peter,6.0,3.0,3.0,12.0,5,3,0,870.00,28,44,0
8,Ty,4.0,4.0,4.0,12.0,4,4,0,885.00,33,38,1
8,Lanny,2.0,2.0,2.0,6.0,1,7,0,836.00,24,47,1
8,Vernon,1.0,1.0,1.0,3.0,0,8,0,708.00,10,60,2
9,Matt,7.5,10.0,10.0,27.5,6,3,0,1221.00,57,24,0
9,Ted,7.5,8.0,9.0,24.5,6,3,0,1187.00,53,27,1
9,Ben,7.5,9.0,8.0,24.5,6,3,0,1193.00,52,29,0
9,Tyler,10.0,6.0,6.0,22.0,7,2,0,1107.00,45,36,0
9,John,5.0,7.0,7.0,19.0,5,4,0,1157.00,47,33,1
9,Peter,7.5,4.0,5.0,16.5,6,3,0,1033.00,37,44,0
9,Joey,2.5,5.0,4.0,11.5,2,7,0,1038.00,35,45,1
9,Ty,4.0,3.0,3.0,10.0,4,5,0,963.00,33,47,1
9,Lanny,2.5,2.0,2.0,6.5,2,7,0,949.00,27,52,2
9,Vernon,1.0,1.0,1.0,3.0,1,8,0,826.00,15,64,2
10,Ted,9.0,9.0,10.0,28.0,7,3,0,1315.00,61,28,1
10,Matt,7.0,10.0,9.0,26.0,6,4,0,1322.00,60,30,0
10,Tyler,10.0,7.0,7.5,24.5,8,2,0,1270.00,54,36,0
10,Ben,7.0,8.0,7.5,22.5,6,4,0,1290.00,54,36,0
10,John,4.5,6.0,6.0,16.5,5,5,0,1233.00,47,42,1
10,Peter,7.0,4.0,5.0,16.0,6,4,0,1145.00,44,46,0
10,Joey,3.0,5.0,4.0,12.0,3,7,0,1149.00,41,48,1
10,Ty,4.5,3.0,3.0,10.5,5,5,0,1072.00,38,51,1
10,Lanny,1.5,2.0,2.0,5.5,2,8,0,1033.00,28,60,2
10,Vernon,1.5,1.0,1.0,3.5,2,8,0,929.00,19,69,2
11,Ted,9.5,10.0,10.0,29.5,8,3,0,1445.00,69,28,2
11,Matt,7.5,9.0,9.0,25.5,7,4,0,1420.00,64,35,0
11,Tyler,9.5,7.0,7.0,23.5,8,3,0,1345.00,55,44,0
11,Ben,5.5,8.0,8.0,21.5,6,5,0,1403.00,61,38,0
11,Peter,7.5,5.0,5.5,18.0,7,4,0,1275.00,52,46,1
11,John,5.5,6.0,5.5,17.0,6,5,0,1335.00,52,45,2
11,Joey,3.0,4.0,3.5,10.5,4,7,0,1231.00,43,55,1
11,Ty,4.0,3.0,3.5,10.5,5,6,0,1174.00,43,54,2
11,Lanny,1.5,2.0,2.0,5.5,2,9,0,1106.00,28,69,2
11,Vernon,1.5,1.0,1.0,3.5,2,9,0,1013.00,22,75,2
12,Ted,8.5,10.0,10.0,28.5,8,4,0,1567.00,75,31,2
12,Matt,6.5,9.0,8.0,23.5,7,5,0,1533.00,65,43,0
12,Ben,6.5,8.0,9.0,23.5,7,5,0,1528.00,68,40,0
12,Tyler,10.0,7.0,6.0,23.0,9,3,0,1460.00,57,51,0
12,Peter,8.5,5.0,7.0,20.5,8,4,0,1412.00,60,47,1
12,John,4.5,6.0,4.5,15.0,6,6,0,1436.00,52,54,2
12,Ty,4.5,3.0,4.5,12.0,6,6,0,1314.00,52,54,2
12,Joey,3.0,4.0,3.0,10.0,5,7,0,1351.00,48,59,1
12,Lanny,1.5,2.0,2.0,5.5,2,10,0,1225.00,32,74,2
12,Vernon,1.5,1.0,1.0,3.5,2,10,0,1130.00,25,81,2
13,Ted,9.0,9.0,10.0,28.0,9,4,0,1698.00,82,33,2
13,Ben,6.5,10.0,9.0,25.5,8,5,0,1704.00,77,40,0
13,Matt,6.5,8.0,8.0,22.5,8,5,0,1662.00,71,46,0
13,Tyler,9.0,7.0,6.0,22.0,9,4,0,1578.00,60,57,0
13,Peter,9.0,5.0,7.0,21.0,9,4,0,1551.00,68,48,1
13,John,4.0,6.0,5.0,15.0,6,7,0,1552.00,54,61,2
13,Joey,4.0,4.0,3.0,11.0,6,7,0,1478.00,52,64,1
13,Ty,4.0,3.0,4.0,11.0,6,7,0,1416.00,53,62,2
13,Lanny,1.5,2.0,2.0,5.5,2,11,0,1298.00,32,83,2
13,Vernon,1.5,1.0,1.0,3.5,2,11,0,1258.00,30,85,2
