Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Tyler,8.0,10.0,10.0,28.0,1,0,0,159.00,9,0,0
1,Joey,8.0,9.0,9.0,26.0,1,0,0,151.00,8,1,0
1,Peter,8.0,8.0,8.0,24.0,1,0,0,130.00,7,2,0
1,Lanny,8.0,6.0,6.0,20.0,1,0,0,125.00,5,4,0
1,Matt,3.0,7.0,7.0,17.0,0,1,0,126.00,6,3,0
1,Ted,3.0,5.0,5.0,13.0,0,1,0,122.00,4,5,0
1,Ben,8.0,2.0,2.0,12.0,1,0,0,109.00,1,8,0
1,John,3.0,4.0,4.0,11.0,0,1,0,117.00,3,6,0
1,Ty,3.0,3.0,3.0,9.0,0,1,0,114.00,2,7,0
1,Vernon,3.0,1.0,1.0,5.0,0,1,0,85.00,0,9,0
2,Joey,9.0,10.0,10.0,29.0,2,0,0,318.00,17,1,0
2,Ted,5.5,9.0,7.5,22.0,1,1,0,272.00,10,8,0
2,Ben,9.0,7.0,6.0,22.0,2,0,0,266.00,9,9,0
2,Tyler,5.5,8.0,7.5,21.0,1,1,0,268.00,10,8,0
2,Peter,5.5,6.0,9.0,20.5,1,1,0,265.00,12,6,0
2,Lanny,9.0,4.0,3.5,16.5,2,0,0,237.00,7,10,1
2,Matt,2.0,5.0,5.0,12.0,0,2,0,238.00,8,9,1
2,Vernon,5.5,3.0,3.5,12.0,1,1,0,236.00,7,11,0
2,Ty,2.0,2.0,2.0,6.0,0,2,0,233.00,6,12,0
2,John,2.0,1.0,1.0,4.0,0,2,0,223.00,3,15,0
3,Joey,9.0,10.0,10.0,29.0,3,0,0,460.00,26,1,0
3,Ben,9.0,8.0,6.5,23.5,3,0,0,383.00,13,13,1
3,Vernon,7.0,6.0,9.0,22.0,2,1,0,375.00,15,12,0
3,Ted,4.5,9.0,6.5,20.0,1,2,0,387.00,13,14,0
3,Tyler,4.5,7.0,4.5,16.0,1,2,0,378.00,12,15,0
3,Lanny,9.0,4.0,3.0,16.0,3,0,0,354.00,11,14,2
3,Matt,1.5,5.0,8.0,14.5,0,3,0,363.00,14,12,1
3,Peter,4.5,2.0,4.5,11.0,1,2,0,349.00,12,15,0
3,John,4.5,3.0,2.0,9.5,1,2,0,352.00,10,17,0
3,Ty,1.5,1.0,1.0,3.5,0,3,0,334.00,7,20,0
4,Joey,7.5,10.0,10.0,27.5,3,1,0,562.00,29,7,0
4,Ben,9.5,8.0,8.0,25.5,4,0,0,542.00,21,14,1
4,Matt,3.5,9.0,9.0,21.5,1,3,0,544.00,23,12,1
4,Lanny,9.5,6.0,5.5,21.0,4,0,0,502.00,18,16,2
4,Vernon,7.5,5.0,7.0,19.5,3,1,0,491.00,19,17,0
4,Tyler,6.0,7.0,5.5,18.5,2,2,0,516.00,18,18,0
4,Peter,3.5,4.0,4.0,11.5,1,3,0,478.00,17,19,0
4,Ted,3.5,3.0,3.0,9.5,1,3,0,459.00,13,23,0
4,John,3.5,2.0,2.0,7.5,1,3,0,446.00,11,24,1
4,Ty,1.0,1.0,1.0,3.0,0,4,0,428.00,8,27,1
5,Ben,10.0,10.0,8.5,28.5,5,0,0,677.00,28,16,1
5,Joey,6.5,9.0,10.0,25.5,3,2,0,671.00,33,12,0
5,Matt,5.0,8.0,8.5,21.5,2,3,0,661.00,28,16,1
5,Vernon,8.5,6.0,7.0,21.5,4,1,0,629.00,27,18,0
5,Lanny,8.5,7.0,6.0,21.5,4,1,0,635.00,24,19,2
5,Tyler,6.5,5.0,5.0,16.5,3,2,0,621.00,21,24,0
5,Ty,2.5,4.0,3.5,10.0,1,4,0,574.00,17,27,1
5,Peter,2.5,3.0,3.5,9.0,1,4,0,567.00,17,27,1
5,Ted,2.5,2.0,2.0,6.5,1,4,0,549.00,15,30,0
5,John,2.5,1.0,1.0,4.5,1,4,0,535.00,11,32,2
6,Joey,7.0,10.0,10.0,27.0,4,2,0,818.00,42,12,0
6,Ben,9.5,9.0,8.0,26.5,5,1,0,790.00,34,19,1
6,Vernon,9.5,6.0,7.0,22.5,5,1,0,729.00,30,24,0
6,Matt,4.0,8.0,9.0,21.0,2,4,0,781.00,35,18,1
6,Lanny,7.0,7.0,6.0,20.0,4,2,0,734.00,26,26,2
6,Tyler,7.0,5.0,3.5,15.5,4,2,0,718.00,22,32,0
6,Ty,4.0,4.0,5.0,13.0,2,4,0,699.00,25,28,1
6,Peter,4.0,3.0,3.5,10.5,2,4,0,675.00,22,31,1
6,Ted,1.5,2.0,2.0,5.5,1,5,0,650.00,19,35,0
6,John,1.5,1.0,1.0,3.5,1,5,0,624.00,11,41,2
7,Joey,9.0,9.0,10.0,28.0,5,2,0,938.00,48,15,0
7,Ben,9.0,7.0,8.0,24.0,5,2,0,862.00,36,26,1
7,Matt,4.5,10.0,9.0,23.5,3,4,0,939.00,44,18,1
7,Lanny,6.5,8.0,7.0,21.5,4,3,0,876.00,34,27,2
7,Vernon,9.0,6.0,6.0,21.0,5,2,0,822.00,33,30,0
7,Peter,4.5,5.0,5.0,14.5,3,4,0,807.00,29,33,1
7,Tyler,6.5,4.0,2.0,12.5,4,3,0,772.00,23,40,0
7,Ted,2.0,3.0,3.0,8.0,2,5,0,748.00,24,39,0
7,Ty,2.0,2.0,4.0,8.0,2,5,0,738.00,25,37,1
7,John,2.0,1.0,1.0,4.0,2,5,0,721.00,15,46,2
8,Joey,9.5,10.0,10.0,29.5,6,2,0,1104.00,57,15,0
8,Ben,9.5,7.0,7.5,24.0,6,2,0,981.00,41,30,1
8,Matt,4.0,9.0,9.0,22.0,3,5,0,1018.00,44,27,1
8,Lanny,7.0,8.0,6.0,21.0,5,3,0,998.00,40,30,2
8,Vernon,7.0,6.0,7.5,20.5,5,3,0,957.00,41,31,0
8,Tyler,7.0,4.0,4.0,15.0,5,3,0,895.00,30,42,0
8,Peter,5.0,5.0,5.0,15.0,4,4,0,907.00,33,38,1
8,Ty,2.0,3.0,3.0,8.0,2,6,0,834.00,28,43,1
8,Ted,2.0,2.0,2.0,6.0,2,6,0,833.00,26,46,0
8,John,2.0,1.0,1.0,4.0,2,6,0,802.00,16,54,2
9,Joey,10.0,10.0,10.0,30.0,7,2,0,1233.00,64,17,0
9,Lanny,8.0,8.0,7.5,23.5,6,3,0,1119.00,46,33,2
9,Matt,4.0,9.0,9.0,22.0,4,5,0,1150.00,53,27,1
9,Ben,8.0,7.0,6.0,21.0,6,3,0,1084.00,43,36,2
9,Vernon,5.5,6.0,7.5,19.0,5,4,0,1074.00,46,35,0
9,Tyler,8.0,4.0,4.0,16.0,6,3,0,1007.00,34,47,0
9,Peter,5.5,5.0,5.0,15.5,5,4,0,1038.00,41,39,1
9,Ted,2.0,3.0,2.0,7.0,2,7,0,936.00,28,52,1
9,Ty,2.0,2.0,3.0,7.0,2,7,0,933.00,29,51,1
9,John,2.0,1.0,1.0,4.0,2,7,0,886.00,16,63,2
10,Joey,10.0,10.0,10.0,30.0,8,2,0,1334.00,67,23,0
10,Lanny,9.0,8.5,8.0,25.5,7,3,0,1257.00,55,33,2
10,Matt,4.0,8.5,9.0,21.5,4,6,0,1257.00,57,32,1
10,Vernon,6.5,7.0,7.0,20.5,6,4,0,1208.00,54,36,0
10,Ben,6.5,6.0,5.0,17.5,6,4,0,1182.00,45,43,2
10,Peter,6.5,5.0,6.0,17.5,6,4,0,1162.00,48,41,1
