Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Ted,8.0,10.0,10.0,28.0
Tyler,8.0,9.0,9.0,26.0
John,8.0,7.0,7.0,22.0
Peter,8.0,6.0,6.0,20.0
Vernon,3.0,8.0,8.0,19.0
Jason,8.0,5.0,5.0,18.0
Lanny,3.0,4.0,4.0,11.0
Ben,3.0,3.0,3.0,9.0
Matt,3.0,2.0,2.0,7.0
Joey,3.0,1.0,1.0,5.0

Week 2
Traditional Ranking,Record,Points,Breakdown,Total
Vernon,5.5,10.0,10.0,25.5
Peter,9.0,8.0,8.0,25.0
Ted,5.5,9.0,9.0,23.5
Tyler,9.0,7.0,7.0,23.0
Jason,9.0,6.0,5.0,20.0
Joey,5.5,5.0,5.0,15.5
John,5.5,4.0,3.0,12.5
Matt,2.0,3.0,5.0,10.0
Ben,2.0,2.0,1.5,5.5
Lanny,2.0,1.0,1.5,4.5

Week 3
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.5,10.0,10.0,29.5
Vernon,7.0,9.0,9.0,25.0
Tyler,9.5,7.0,8.0,24.5
Ted,4.0,8.0,7.0,19.0
Joey,7.0,6.0,6.0,19.0
Jason,7.0,5.0,5.0,17.0
Ben,4.0,4.0,4.0,12.0
John,4.0,3.0,2.5,9.5
Matt,1.5,1.0,2.5,5.0
Lanny,1.5,2.0,1.0,4.5

Week 4
Traditional Ranking,Record,Points,Breakdown,Total
Peter,10.0,10.0,10.0,30.0
Vernon,5.5,8.0,9.0,22.5
Jason,8.0,7.0,6.0,21.0
Ted,3.0,9.0,8.0,20.0
Tyler,8.0,5.0,6.0,19.0
Ben,5.5,6.0,6.0,17.5
Joey,8.0,4.0,4.0,16.0
John,3.0,3.0,3.0,9.0
Matt,3.0,2.0,2.0,7.0
Lanny,1.0,1.0,1.0,3.0

Week 5
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.5,8.0,9.0,26.5
Vernon,6.5,9.0,9.0,24.5
Ted,3.5,10.0,9.0,22.5
Ben,6.5,7.0,7.0,20.5
Joey,9.5,5.0,6.0,20.5
Tyler,6.5,3.0,4.5,14.0
John,3.5,6.0,4.5,14.0
Jason,6.5,4.0,3.0,13.5
Matt,2.0,2.0,2.0,6.0
Lanny,1.0,1.0,1.0,3.0

Week 6
Traditional Ranking,Record,Points,Breakdown,Total
Vernon,8.0,9.0,10.0,27.0
Peter,8.0,8.0,8.0,24.0
Ted,4.5,10.0,9.0,23.5
Ben,8.0,7.0,7.0,22.0
Jason,8.0,6.0,6.0,20.0
Joey,8.0,4.0,4.5,16.5
Tyler,4.5,3.0,4.5,12.0
John,3.0,5.0,3.0,11.0
Lanny,1.5,2.0,1.5,5.0
Matt,1.5,1.0,1.5,4.0

Week 7
Traditional Ranking,Record,Points,Breakdown,Total
Vernon,8.5,10.0,10.0,28.5
Peter,8.5,8.0,9.0,25.5
Ted,5.5,9.0,8.0,22.5
Jason,8.5,6.0,7.0,21.5
Ben,8.5,7.0,6.0,21.5
Joey,5.5,4.0,4.0,13.5
John,3.0,5.0,5.0,13.0
Tyler,4.0,3.0,3.0,10.0
Lanny,1.5,2.0,2.0,5.5
Matt,1.5,1.0,1.0,3.5

Week 8
Traditional Ranking,Record,Points,Breakdown,Total
Vernon,7.0,10.0,9.5,26.5
Peter,7.0,8.0,9.5,24.5
Ted,7.0,9.0,8.0,24.0
Jason,10.0,6.0,6.5,22.5
Ben,7.0,7.0,6.5,20.5
Joey,7.0,4.0,5.0,16.0
John,3.5,5.0,4.0,12.5
Tyler,3.5,3.0,3.0,9.5
Matt,2.0,1.0,2.0,5.0
Lanny,1.0,2.0,1.0,4.0

Week 9
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.0,9.0,10.0,27.0
Ted,8.0,10.0,8.5,26.5
Jason,10.0,7.0,6.0,23.0
Vernon,5.5,8.0,8.5,22.0
Joey,8.0,4.0,7.0,19.0
Ben,5.5,6.0,5.0,16.5
John,3.0,5.0,4.0,12.0
Tyler,4.0,3.0,3.0,10.0
Lanny,1.0,2.0,2.0,5.0
Matt,2.0,1.0,1.0,4.0

Week 10
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.0,9.0,10.0,27.0
Ted,8.0,10.0,9.0,27.0
Jason,10.0,7.0,4.5,21.5
Vernon,5.5,8.0,8.0,21.5
Joey,8.0,4.0,7.0,19.0
Ben,5.5,6.0,4.5,16.0
John,3.5,5.0,6.0,14.5
Tyler,3.5,3.0,3.0,9.5
Matt,2.0,1.0,2.0,5.0
Lanny,1.0,2.0,1.0,4.0

Week 11
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.5,10.0,10.0,28.5
Ted,7.0,9.0,9.0,25.0
Jason,10.0,7.0,6.0,23.0
Joey,8.5,6.0,7.0,21.5
Vernon,5.0,8.0,8.0,21.0
Ben,5.0,4.0,4.0,13.0
John,3.0,5.0,5.0,13.0
Tyler,5.0,3.0,3.0,11.0
Matt,2.0,2.0,2.0,6.0
Lanny,1.0,1.0,1.0,3.0

Week 12
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.0,10.0,10.0,28.0
Ted,7.0,9.0,9.0,25.0
Jason,10.0,7.0,6.0,23.0
Joey,9.0,5.0,7.0,21.0
Vernon,4.0,8.0,8.0,20.0
John,4.0,6.0,5.0,15.0
Ben,6.0,4.0,4.0,14.0
Tyler,4.0,3.0,2.0,9.0
Matt,2.0,2.0,3.0,7.0
Lanny,1.0,1.0,1.0,3.0

Week 13
Traditional Ranking,Record,Points,Breakdown,Total
Peter,7.5,9.0,10.0,26.5
Ted,7.5,10.0,9.0,26.5
Jason,10.0,7.0,7.0,24.0
Vernon,3.0,8.0,8.0,19.0
Joey,9.0,4.0,6.0,19.0
Ben,6.0,5.0,4.5,15.5
John,3.0,6.0,4.5,13.5
Matt,3.0,3.0,3.0,9.0
Tyler,5.0,2.0,2.0,9.0
Lanny,1.0,1.0,1.0,3.0

