Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Vernon,8.0,10.0,10.0,28.0,1,0,0,159.00,9,0,0
1,Lanny,8.0,9.0,9.0,26.0,1,0,0,151.00,8,1,0
1,Matt,8.0,7.5,7.5,23.0,1,0,0,129.00,6,2,1
1,Peter,8.0,6.0,6.0,20.0,1,0,0,125.00,5,4,0
1,Ben,3.0,7.5,7.5,18.0,0,1,0,129.00,6,2,1
1,John,8.0,5.0,5.0,18.0,1,0,0,99.00,4,5,0
1,Ted,3.0,4.0,4.0,11.0,0,1,0,81.00,3,6,0
1,Tyler,3.0,3.0,3.0,9.0,0,1,0,71.00,2,7,0
1,Joey,3.0,2.0,2.0,7.0,0,1,0,70.00,1,8,0
1,Ty,3.0,1.0,1.0,5.0,0,1,0,69.00,0,9,0
2,Vernon,9.0,10.0,10.0,29.0,2,0,0,284.00,16,2,0
2,Matt,9.0,9.0,9.0,27.0,2,0,0,267.00,14,3,1
2,John,9.0,8.0,8.0,25.0,2,0,0,253.00,13,5,0
2,Peter,6.0,6.0,6.0,18.0,1,0,1,245.00,10,7,1
2,Ben,2.5,7.0,7.0,16.5,0,1,1,249.00,11,5,2
2,Lanny,6.0,5.0,5.0,16.0,1,1,0,237.00,9,9,0
2,Ted,6.0,4.0,4.0,14.0,1,1,0,174.00,6,12,0
2,Joey,2.5,3.0,3.0,8.5,0,2,0,173.00,5,13,0
2,Tyler,2.5,2.0,2.0,6.5,0,2,0,162.00,4,14,0
2,Ty,2.5,1.0,1.0,4.5,0,2,0,149.00,0,18,0
3,Vernon,10.0,10.0,10.0,30.0,3,0,0,412.00,25,2,0
3,Peter,7.5,9.0,8.5,25.0,2,0,1,368.00,17,9,1
3,Lanny,7.5,8.0,8.5,24.0,2,1,0,364.00,17,10,0
3,Matt,7.5,7.0,7.0,21.5,2,1,0,362.00,16,10,1
3,John,7.5,5.0,5.0,17.5,2,0,1,339.00,13,13,1
3,Ben,4.5,6.0,6.0,16.5,1,1,1,352.00,15,10,2
3,Ted,4.5,3.0,3.5,11.0,1,2,0,279.00,11,16,0
3,Joey,2.0,4.0,3.5,9.5,0,3,0,295.00,11,16,0
3,Tyler,2.0,1.0,2.0,5.0,0,2,1,248.00,4,22,1
3,Ty,2.0,2.0,1.0,5.0,0,3,0,249.00,3,24,0
4,Vernon,9.5,10.0,10.0,29.5,3,0,1,512.00,28,7,1
4,Peter,9.5,9.0,9.0,27.5,3,0,1,485.00,24,11,1
4,Lanny,6.5,7.0,6.0,19.5,2,2,0,444.00,18,18,0
4,Ted,6.5,4.0,8.0,18.5,2,2,0,424.00,20,16,0
4,Ben,3.0,8.0,5.0,16.0,1,2,1,448.00,17,17,2
4,John,6.5,6.0,3.5,16.0,2,0,2,439.00,16,18,2
4,Matt,6.5,5.0,3.5,15.0,2,2,0,432.00,16,19,1
4,Joey,3.0,3.0,7.0,13.0,1,3,0,423.00,19,17,0
4,Ty,3.0,2.0,1.5,6.5,1,3,0,360.00,9,27,0
4,Tyler,1.0,1.0,1.5,3.5,0,3,1,351.00,9,26,1
5,Vernon,9.5,10.0,10.0,29.5,4,0,1,658.00,36,8,1
5,Peter,9.5,9.0,9.0,27.5,4,0,1,594.00,30,14,1
5,Lanny,7.0,8.0,8.0,23.0,3,2,0,591.00,27,18,0
5,Ted,7.0,4.0,6.0,17.0,3,2,0,514.00,23,22,0
5,John,7.0,6.0,4.0,17.0,3,0,2,537.00,20,23,2
5,Ben,3.0,7.0,5.0,15.0,1,3,1,555.00,22,21,2
5,Joey,3.0,5.0,7.0,15.0,1,4,0,536.00,26,19,0
5,Matt,5.0,3.0,3.0,11.0,2,3,0,509.00,16,27,2
5,Ty,3.0,2.0,2.0,7.0,1,4,0,440.00,11,34,0
5,Tyler,1.0,1.0,1.0,3.0,0,4,1,428.00,9,34,2
6,Vernon,8.5,10.0,10.0,28.5,4,1,1,763.00,39,14,1
6,Lanny,8.5,8.0,9.0,25.5,4,2,0,736.00,35,19,0
6,Peter,8.5,7.0,8.0,23.5,4,1,1,716.00,34,19,1
6,Ben,4.0,9.0,6.5,19.5,2,3,1,742.00,31,21,2
6,Ted,8.5,5.0,5.0,18.5,4,2,0,651.00,29,25,0
6,Joey,2.0,6.0,6.5,14.5,1,5,0,672.00,31,23,0
6,Matt,5.5,4.0,4.0,13.5,3,3,0,648.00,23,29,2
6,John,5.5,3.0,3.0,11.5,3,1,2,616.00,20,32,2
6,Tyler,2.0,2.0,1.0,5.0,1,4,1,532.00,11,41,2
6,Ty,2.0,1.0,2.0,5.0,1,5,0,523.00,12,42,0
7,Vernon,9.0,10.0,10.0,29.0,5,1,1,897.00,46,16,1
7,Peter,9.0,9.0,9.0,27.0,5,1,1,859.00,42,20,1
7,Lanny,6.5,8.0,8.0,22.5,4,3,0,857.00,40,23,0
7,Ted,9.0,4.0,6.0,19.0,5,2,0,766.00,33,30,0
7,Matt,6.5,6.0,4.5,17.0,4,3,0,805.00,32,29,2
7,Joey,3.5,5.0,7.0,15.5,2,5,0,794.00,37,26,0
7,Ben,3.5,7.0,4.5,15.0,2,4,1,821.00,32,29,2
7,John,5.0,3.0,3.0,11.0,3,2,2,689.00,20,41,2
7,Ty,1.5,2.0,2.0,5.5,1,6,0,624.00,15,48,0
7,Tyler,1.5,1.0,1.0,3.5,1,5,1,619.00,13,48,2
8,Vernon,10.0,9.0,10.0,29.0,6,1,1,1024.00,54,17,1
8,Lanny,7.5,10.0,9.0,26.5,5,3,0,1035.00,49,23,0
8,Peter,7.5,8.0,8.0,23.5,5,2,1,969.00,48,23,1
8,Matt,7.5,6.0,6.0,19.5,5,3,0,911.00,36,34,2
8,Ted,7.5,4.0,4.5,16.0,5,3,0,861.00,35,37,0
8,Ben,4.0,7.0,4.5,15.5,3,4,1,917.00,35,35,2
8,Joey,3.0,5.0,7.0,15.0,2,6,0,867.00,38,34,0
8,John,5.0,3.0,3.0,11.0,4,2,2,814.00,27,43,2
8,Ty,1.5,2.0,2.0,5.5,1,7,0,733.00,20,52,0
8,Tyler,1.5,1.0,1.0,3.5,1,6,1,684.00,13,57,2
9,Vernon,8.5,10.0,10.0,28.5,6,2,1,1128.00,57,23,1
9,Peter,8.5,8.0,9.0,25.5,6,2,1,1113.00,55,25,1
9,Lanny,6.0,9.0,8.0,23.0,5,4,0,1124.00,50,31,0
9,Matt,8.5,6.0,5.0,19.5,6,3,0,1038.00,41,37,3
9,Ben,4.5,7.0,6.0,17.5,4,4,1,1064.00,43,36,2
9,Ted,8.5,4.0,4.0,16.5,6,3,0,966.00,39,42,0
9,Joey,3.0,5.0,7.0,15.0,3,6,0,1016.00,47,34,0
9,John,4.5,3.0,3.0,10.5,4,3,2,907.00,29,50,2
9,Ty,1.5,2.0,2.0,5.5,1,8,0,860.00,25,55,1
9,Tyler,1.5,1.0,1.0,3.5,1,7,1,752.00,13,66,2
10,Vernon,9.5,9.5,10.0,29.0,7,2,1,1262.00,65,24,1
10,Lanny,7.0,9.5,9.0,25.5,6,4,0,1262.00,59,31,0
10,Peter,7.0,8.0,8.0,23.0,6,3,1,1211.00,58,31,1
10,Matt,9.5,6.0,6.0,21.5,7,3,0,1143.00,45,42,3
10,Joey,3.5,7.0,7.0,17.5,4,6,0,1145.00,53,37,0
10,Ted,7.0,4.0,4.0,15.0,6,4,0,1060.00,41,49,0
10,Ben,3.5,5.0,5.0,13.5,4,5,1,1130.00,43,45,2
10,John,5.0,3.0,3.0,11.0,5,3,2,1037.00,36,52,2
10,Ty,1.5,2.0,2.0,5.5,1,9,0,977.00,30,59,1
10,Tyler,1.5,1.0,1.0,3.5,1,8,1,833.00,14,74,2
11,Vernon,8.0,9.0,10.0,27.0,7,3,1,1376.00,68,30,1
11,Lanny,6.0,10.0,8.5,24.5,6,5,0,1402.00,67,32,0
11,Peter,8.0,8.0,8.5,24.5,7,3,1,1361.00,67,31,1
11,Matt,10.0,7.0,6.0,23.0,8,3,0,1280.00,52,44,3
11,Joey,4.5,6.0,7.0,17.5,5,6,0,1270.00,59,40,0
11,Ted,8.0,4.0,4.5,16.5,7,4,0,1176.00,45,54,0
11,Ben,3.0,5.0,4.5,12.5,4,6,1,1228.00,45,52,2
11,John,4.5,3.0,3.0,10.5,5,4,2,1157.00,41,56,2
11,Ty,1.0,2.0,2.0,5.0,1,10,0,1054.00,30,68,1
11,Tyler,2.0,1.0,1.0,4.0,2,8,1,914.00,15,82,2
12,Peter,7.5,9.0,10.0,26.5,7,4,1,1466.00,72,35,1
12,Vernon,9.0,8.0,8.0,25.0,8,3,1,1463.00,69,38,1
12,Lanny,5.0,10.0,9.0,24.0,6,6,0,1503.00,71,37,0
12,Matt,10.0,7.0,6.0,23.0,9,3,0,1451.00,61,44,3
12,Joey,5.0,6.0,7.0,18.0,6,6,0,1391.00,67,41,0
12,Ted,7.5,4.0,3.5,15.0,7,5,0,1269.00,47,61,0
12,Ben,3.0,5.0,5.0,13.0,4,7,1,1326.00,48,58,2
12,John,5.0,3.0,3.5,11.5,6,4,2,1268.00,47,59,2
12,Ty,1.0,2.0,2.0,5.0,1,11,0,1120.00,30,77,1
12,Tyler,2.0,1.0,1.0,4.0,3,8,1,1026.00,22,84,2
13,Matt,10.0,9.0,7.0,26.0,10,3,0,1583.00,69,45,3
13,Vernon,9.0,8.0,8.0,25.0,9,3,1,1573.00,72,44,1
13,Lanny,4.5,10.0,10.0,24.5,6,7,0,1633.00,78,39,0
13,Peter,7.0,7.0,9.0,23.0,7,5,1,1566.00,73,43,1
13,Joey,4.5,6.0,6.0,16.5,6,7,0,1487.00,67,50,0
13,John,7.0,4.0,4.5,15.5,7,4,2,1391.00,53,62,2
13,Ted,7.0,3.0,3.0,13.0,7,6,0,1388.00,51,66,0
13,Ben,2.5,5.0,4.5,12.0,4,8,1,1447.00,53,62,2
13,Ty,1.0,2.0,2.0,5.0,2,11,0,1226.00,32,84,1
13,Tyler,2.5,1.0,1.0,4.5,4,8,1,1181.00,31,84,2
