Week 1
Traditional Ranking,Record,Points,Breakdown,Total
John,8.0,10.0,10.0,28.0
Lanny,8.0,9.0,9.0,26.0
Tyler,8.0,6.5,6.5,21.0
Ted,8.0,6.5,6.5,21.0
Joey,3.0,8.0,8.0,19.0
Ben,8.0,4.5,4.5,17.0
Peter,3.0,4.5,4.5,12.0
Matt,3.0,3.0,3.0,9.0
Ty,3.0,2.0,2.0,7.0
Vernon,3.0,1.0,1.0,5.0

Week 2
Traditional Ranking,Record,Points,Breakdown,Total
John,9.0,9.0,10.0,28.0
Ted,9.0,10.0,9.0,28.0
Tyler,9.0,7.0,6.5,22.5
Peter,5.5,8.0,6.5,20.0
Joey,2.0,6.0,8.0,16.0
Matt,5.5,4.0,4.5,14.0
Ben,5.5,5.0,3.0,13.5
Lanny,5.5,3.0,4.5,13.0
Ty,2.0,2.0,2.0,6.0
Vernon,2.0,1.0,1.0,4.0

Week 3
Traditional Ranking,Record,Points,Breakdown,Total
John,10.0,10.0,10.0,30.0
Ted,7.0,9.0,6.5,22.5
Matt,7.0,7.0,6.5,20.5
Lanny,7.0,4.5,8.5,20.0
Joey,3.5,6.0,8.5,18.0
Peter,3.5,8.0,5.0,16.5
Tyler,7.0,4.5,4.0,15.5
Ben,7.0,3.0,3.0,13.0
Vernon,1.5,1.5,2.0,5.0
Ty,1.5,1.5,1.0,4.0

Week 4
Traditional Ranking,Record,Points,Breakdown,Total
John,9.5,10.0,10.0,29.5
Peter,5.5,9.0,8.0,22.5
Joey,5.5,7.0,9.0,21.5
Ted,5.5,8.0,5.0,18.5
Tyler,5.5,6.0,6.5,18.0
Matt,5.5,5.0,6.5,17.0
Ben,9.5,4.0,3.0,16.5
Lanny,5.5,3.0,4.0,12.5
Ty,1.5,2.0,1.5,5.0
Vernon,1.5,1.0,1.5,4.0

Week 5
Traditional Ranking,Record,Points,Breakdown,Total
John,9.5,10.0,10.0,29.5
Ted,8.0,9.0,7.5,24.5
Ben,9.5,7.0,5.5,22.0
Joey,4.0,8.0,9.0,21.0
Matt,4.0,5.0,7.5,16.5
Tyler,4.0,6.0,4.0,14.0
Peter,4.0,4.0,5.5,13.5
Lanny,4.0,2.0,3.0,9.0
Ty,4.0,3.0,1.0,8.0
Vernon,4.0,1.0,2.0,7.0

Week 6
Traditional Ranking,Record,Points,Breakdown,Total
John,9.5,10.0,10.0,29.5
Joey,6.5,9.0,9.0,24.5
Peter,6.5,7.0,8.0,21.5
Ted,6.5,8.0,7.0,21.5
Ben,9.5,6.0,5.0,20.5
Matt,2.5,5.0,6.0,13.5
Vernon,6.5,1.0,4.0,11.5
Tyler,2.5,4.0,3.0,9.5
Lanny,2.5,3.0,2.0,7.5
Ty,2.5,2.0,1.0,5.5

Week 7
Traditional Ranking,Record,Points,Breakdown,Total
John,9.5,9.0,9.0,27.5
Joey,4.0,10.0,10.0,24.0
Peter,7.5,8.0,8.0,23.5
Ben,9.5,5.0,3.0,17.5
Matt,4.0,6.0,7.0,17.0
Tyler,4.0,7.0,6.0,17.0
Vernon,7.5,2.0,4.0,13.5
Ted,4.0,4.0,5.0,13.0
Ty,4.0,1.0,1.0,6.0
Lanny,1.0,3.0,2.0,6.0

Week 8
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.0,10.0,9.0,27.0
John,8.0,7.0,7.0,22.0
Joey,3.0,9.0,10.0,22.0
Matt,5.5,8.0,8.0,21.5
Ben,10.0,5.0,3.0,18.0
Vernon,8.0,3.0,5.0,16.0
Tyler,3.0,6.0,6.0,15.0
Ted,3.0,4.0,4.0,11.0
Ty,5.5,1.0,1.0,7.5
Lanny,1.0,2.0,2.0,5.0

Week 9
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.0,10.0,9.0,28.0
Matt,7.0,8.0,8.0,23.0
Joey,4.0,9.0,10.0,23.0
John,7.0,7.0,7.0,21.0
Ben,10.0,6.0,3.5,19.5
Vernon,7.0,3.0,6.0,16.0
Tyler,2.0,5.0,5.0,12.0
Ted,4.0,4.0,3.5,11.5
Ty,4.0,1.0,1.0,6.0
