Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,1.0,2.0,2.0,5.0

Week 10
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.0,10.0,10.0,28.0
Matt,8.0,8.0,8.0,24.0
Joey,5.5,9.0,9.0,23.5
John,8.0,7.0,7.0,22.0
Ben,10.0,5.0,4.0,19.0
Tyler,3.0,6.0,6.0,15.0
Vernon,5.5,3.0,5.0,13.5
Ted,3.0,4.0,3.0,10.0
Ty,3.0,2.0,1.0,6.0
Lanny,1.0,1.0,2.0,4.0

Week 11
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.0,10.0,9.0,28.0
Matt,9.0,8.0,8.0,25.0
Joey,6.0,9.0,10.0,25.0
John,6.0,6.0,7.0,19.0
Tyler,4.0,7.0,6.0,17.0
Ben,9.0,5.0,3.0,17.0
Vernon,6.0,3.0,5.0,14.0
Ted,2.5,4.0,4.0,10.5
Lanny,1.0,2.0,2.0,5.0
Ty,2.5,1.0,1.0,4.5

Week 12
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.5,10.0,9.0,28.5
Joey,6.5,9.0,10.0,25.5
Matt,9.5,8.0,7.5,25.0
John,6.5,7.0,7.5,21.0
Vernon,6.5,5.0,6.0,17.5
Tyler,4.0,6.0,5.0,15.0
Ben,6.5,4.0,3.0,13.5
Ted,2.5,3.0,4.0,9.5
Lanny,1.0,2.0,2.0,5.0
Ty,2.5,1.0,1.0,4.5

Week 13
Traditional Ranking,Record,Points,Breakdown,Total
Peter,10.0,10.0,9.0,29.0
Joey,7.5,9.0,10.0,26.5
John,7.5,8.0,8.0,23.5
Matt,7.5,7.0,7.0,21.5
Ben,7.5,5.0,3.0,15.5
Vernon,5.0,4.0,6.0,15.0
Tyler,4.0,6.0,5.0,15.0
Ted,2.0,3.0,4.0,9.0
Ty,2.0,2.0,1.0,5.0
Lanny,2.0,1.0,2.0,5.0

