Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Ted,8.0,10.0,10.0,28.0
Tyler,8.0,8.5,8.5,25.0
Ben,8.0,8.5,8.5,25.0
Ty,8.0,6.5,6.5,21.0
Joey,8.0,6.5,6.5,21.0
John,3.0,5.0,5.0,13.0
Lanny,3.0,4.0,4.0,11.0
Peter,3.0,3.0,3.0,9.0
Vernon,3.0,2.0,2.0,7.0
Matt,3.0,1.0,1.0,5.0

Week 2
Traditional Ranking,Record,Points,Breakdown,Total
Ted,5.5,10.0,8.5,24.0
Joey,5.5,8.5,10.0,24.0
Lanny,5.5,8.5,8.5,22.5
Ty,9.5,4.5,5.0,19.0
Tyler,5.5,6.0,7.0,18.5
Ben,9.5,4.5,3.0,17.0
John,1.5,7.0,5.0,13.5
Matt,5.5,2.0,5.0,12.5
Vernon,5.5,3.0,2.0,10.5
Peter,1.5,1.0,1.0,3.5

Week 3
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,7.5,10.0,8.0,25.5
Ben,10.0,9.0,6.0,25.0
Vernon,7.5,8.0,8.0,23.5
Matt,3.5,6.0,10.0,19.5
Joey,3.5,7.0,8.0,18.5
Ted,7.5,4.5,4.5,16.5
Ty,7.5,3.0,4.5,15.0
Lanny,3.5,2.0,2.5,8.0
John,1.0,4.5,2.5,8.0
Peter,3.5,1.0,1.0,5.5

Week 4
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.5,10.0,10.0,28.5
Ben,10.0,9.0,8.5,27.5
Vernon,8.5,7.5,7.0,23.0
Joey,2.5,7.5,8.5,18.5
Matt,5.5,5.0,6.0,16.5
Ted,5.5,6.0,5.0,16.5
Ty,5.5,3.0,3.0,11.5
Peter,5.5,2.0,1.5,9.0
John,1.0,4.0,4.0,9.0
Lanny,2.5,1.0,1.5,5.0

Week 5
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,9.5,10.0,10.0,29.5
Ben,9.5,9.0,8.0,26.5
Matt,7.0,7.0,7.0,21.0
Joey,3.5,8.0,9.0,20.5
Vernon,7.0,5.0,6.0,18.0
Ted,3.5,6.0,4.5,14.0
Lanny,3.5,4.0,4.5,12.0
Peter,7.0,2.0,2.5,11.5
Ty,3.5,3.0,2.5,9.0
John,1.0,1.0,1.0,3.0

Week 6
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,9.5,10.0,10.0,29.5
Ben,9.5,9.0,9.0,27.5
Joey,6.0,8.0,8.0,22.0
Matt,6.0,6.0,7.0,19.0
Vernon,8.0,5.0,5.5,18.5
Ted,3.0,7.0,5.5,15.5
Peter,6.0,4.0,4.0,14.0
John,1.0,3.0,3.0,7.0
Ty,3.0,2.0,1.0,6.0
Lanny,3.0,1.0,2.0,6.0

Week 7
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.5,10.0,10.0,28.5
Ben,10.0,8.0,8.0,26.0
Joey,6.5,9.0,9.0,24.5
Matt,6.5,6.0,6.0,18.5
Vernon,8.5,5.0,5.0,18.5
Ted,4.5,7.0,7.0,18.5
Peter,4.5,4.0,3.5,12.0
Lanny,2.5,2.0,3.5,8.0
John,1.0,3.0,2.0,6.0
Ty,2.5,1.0,1.0,4.5

Week 8
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.5,10.0,9.5,28.0
Ben,10.0,8.0,8.0,26.0
Joey,6.5,9.0,9.5,25.0
Vernon,8.5,6.0,7.0,21.5
Matt,6.5,5.0,5.5,17.0
Ted,4.0,7.0,5.5,16.5
Peter,4.0,4.0,3.0,11.0
Lanny,4.0,2.0,2.0,8.0
John,1.0,3.0,4.0,8.0
Ty,2.0,1.0,1.0,4.0

Week 9
