Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Traditional Ranking,Record,Points,Breakdown,Total
Ben,10.0,10.0,8.5,28.5
Tyler,8.0,9.0,10.0,27.0
Joey,6.0,8.0,8.5,22.5
Vernon,9.0,6.0,7.0,22.0
Ted,3.0,7.0,6.0,16.0
Matt,6.0,4.0,4.5,14.5
John,1.0,5.0,4.5,10.5
Lanny,6.0,2.0,2.0,10.0
Peter,3.0,3.0,3.0,9.0
Ty,3.0,1.0,1.0,5.0

Week 10
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.0,10.0,9.5,27.5
Ben,9.5,9.0,8.0,26.5
Joey,6.5,8.0,9.5,24.0
Vernon,9.5,7.0,7.0,23.5
John,2.0,6.0,6.0,14.0
Matt,4.5,3.5,4.0,12.0
Ted,2.0,5.0,5.0,12.0
Peter,4.5,3.5,3.0,11.0
Lanny,6.5,2.0,2.0,10.5
Ty,2.0,1.0,1.0,4.0

Week 11
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.0,10.0,10.0,28.0
Ben,10.0,9.0,7.0,26.0
Vernon,9.0,7.0,8.0,24.0
Joey,6.0,8.0,9.0,23.0
John,2.5,6.0,6.0,14.5
Peter,6.0,4.0,4.0,14.0
Ted,2.5,5.0,5.0,12.5
Matt,2.5,3.0,3.0,8.5
Lanny,6.0,1.0,1.0,8.0
Ty,2.5,2.0,2.0,6.5

Week 12
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,8.0,10.0,10.0,28.0
Joey,7.0,9.0,9.0,25.0
Vernon,9.5,7.0,8.0,24.5
Ben,9.5,8.0,7.0,24.5
John,4.5,6.0,6.0,16.5
Peter,4.5,4.0,4.0,12.5
Ted,1.5,5.0,5.0,11.5
Matt,4.5,3.0,3.0,10.5
Lanny,4.5,2.0,2.0,8.5
Ty,1.5,1.0,1.0,3.5

Week 13
Traditional Ranking,Record,Points,Breakdown,Total
Tyler,7.5,10.0,10.0,27.5
Ben,10.0,9.0,8.0,27.0
Joey,7.5,8.0,9.0,24.5
Vernon,9.0,7.0,7.0,23.0
John,3.0,6.0,6.0,15.0
Peter,5.5,4.0,4.5,14.0
Ted,3.0,5.0,4.5,12.5
Lanny,5.5,3.0,3.0,11.5
Matt,3.0,2.0,2.0,7.0
Ty,1.0,1.0,1.0,3.0

