Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Ted,8.0,10.0,10.0,28.0,1,0,0,167.00,9,0,0
1,Tyler,8.0,8.5,8.5,25.0,1,0,0,150.00,7,1,1
1,Ben,8.0,8.5,8.5,25.0,1,0,0,150.00,7,1,1
1,Ty,8.0,6.5,6.5,21.0,1,0,0,136.00,5,3,1
1,Joey,8.0,6.5,6.5,21.0,1,0,0,136.00,5,3,1
1,John,3.0,5.0,5.0,13.0,0,1,0,135.00,4,5,0
1,Lanny,3.0,4.0,4.0,11.0,0,1,0,131.00,3,6,0
1,Peter,3.0,3.0,3.0,9.0,0,1,0,117.00,2,7,0
1,Vernon,3.0,2.0,2.0,7.0,0,1,0,115.00,1,8,0
1,Matt,3.0,1.0,1.0,5.0,0,1,0,96.00,0,9,0
2,Ted,5.5,10.0,8.5,24.0,1,1,0,282.00,11,7,0
2,Joey,5.5,8.5,10.0,24.0,1,1,0,278.00,12,5,1
2,Lanny,5.5,8.5,8.5,22.5,1,1,0,278.00,11,7,0
2,Ty,9.5,4.5,5.0,19.0,2,0,0,264.00,9,8,1
2,Tyler,5.5,6.0,7.0,18.5,1,1,0,271.00,10,7,1
2,Ben,9.5,4.5,3.0,17.0,2,0,0,264.00,8,9,1
2,John,1.5,7.0,5.0,13.5,0,2,0,273.00,9,9,0
2,Matt,5.5,2.0,5.0,12.5,1,1,0,247.00,9,9,0
2,Vernon,5.5,3.0,2.0,10.5,1,1,0,254.00,7,11,0
2,Peter,1.5,1.0,1.0,3.5,0,2,0,214.00,2,16,0
3,Tyler,7.5,10.0,8.0,25.5,2,1,0,394.00,16,10,1
3,Ben,10.0,9.0,6.0,25.0,3,0,0,390.00,15,11,1
3,Vernon,7.5,8.0,8.0,23.5,2,1,0,389.00,16,11,0
3,Matt,3.5,6.0,10.0,19.5,1,2,0,375.00,17,10,0
3,Joey,3.5,7.0,8.0,18.5,1,2,0,379.00,16,10,1
3,Ted,7.5,4.5,4.5,16.5,2,1,0,372.00,12,15,0
3,Ty,7.5,3.0,4.5,15.0,2,1,0,364.00,12,14,1
3,Lanny,3.5,2.0,2.5,8.0,1,2,0,346.00,11,16,0
3,John,1.0,4.5,2.5,8.0,0,3,0,372.00,11,16,0
3,Peter,3.5,1.0,1.0,5.5,1,2,0,321.00,7,20,0
4,Tyler,8.5,10.0,10.0,28.5,3,1,0,566.00,25,10,1
4,Ben,10.0,9.0,8.5,27.5,4,0,0,547.00,23,12,1
4,Vernon,8.5,7.5,7.0,23.0,3,1,0,527.00,22,14,0
4,Joey,2.5,7.5,8.5,18.5,1,3,0,527.00,23,12,1
4,Matt,5.5,5.0,6.0,16.5,2,2,0,490.00,20,16,0
4,Ted,5.5,6.0,5.0,16.5,2,2,0,509.00,17,19,0
4,Ty,5.5,3.0,3.0,11.5,2,2,0,449.00,12,22,2
4,Peter,5.5,2.0,1.5,9.0,2,2,0,439.00,11,25,0
4,John,1.0,4.0,4.0,9.0,0,4,0,463.00,13,23,0
4,Lanny,2.5,1.0,1.5,5.0,1,3,0,431.00,11,24,1
5,Tyler,9.5,10.0,10.0,29.5,4,1,0,733.00,34,10,1
5,Ben,9.5,9.0,8.0,26.5,4,1,0,676.00,28,16,1
5,Matt,7.0,7.0,7.0,21.0,3,2,0,633.00,27,18,0
5,Joey,3.5,8.0,9.0,20.5,2,3,0,664.00,29,15,1
5,Vernon,7.0,5.0,6.0,18.0,3,2,0,608.00,22,23,0
5,Ted,3.5,6.0,4.5,14.0,2,3,0,613.00,19,26,0
5,Lanny,3.5,4.0,4.5,12.0,2,3,0,577.00,19,25,1
5,Peter,7.0,2.0,2.5,11.5,3,2,0,565.00,15,30,0
5,Ty,3.5,3.0,2.5,9.0,2,3,0,567.00,15,28,2
5,John,1.0,1.0,1.0,3.0,0,5,0,559.00,14,31,0
6,Tyler,9.5,10.0,10.0,29.5,5,1,0,854.00,41,12,1
6,Ben,9.5,9.0,9.0,27.5,5,1,0,778.00,32,21,1
6,Joey,6.0,8.0,8.0,22.0,3,3,0,759.00,31,22,1
6,Matt,6.0,6.0,7.0,19.0,3,3,0,727.00,28,26,0
6,Vernon,8.0,5.0,5.5,18.5,4,2,0,713.00,27,27,0
6,Ted,3.0,7.0,5.5,15.5,2,3,1,755.00,27,26,1
6,Peter,6.0,4.0,4.0,14.0,3,2,1,707.00,23,30,1
6,John,1.0,3.0,3.0,7.0,0,6,0,678.00,20,34,0
6,Ty,3.0,2.0,1.0,6.0,2,4,0,663.00,18,34,2
6,Lanny,3.0,1.0,2.0,6.0,2,4,0,661.00,19,34,1
7,Tyler,8.5,10.0,10.0,28.5,5,2,0,949.00,43,18,2
7,Ben,10.0,8.0,8.0,26.0,6,1,0,893.00,39,23,1
7,Joey,6.5,9.0,9.0,24.5,4,3,0,901.00,40,22,1
7,Matt,6.5,6.0,6.0,18.5,4,3,0,839.00,34,29,0
7,Vernon,8.5,5.0,5.0,18.5,5,2,0,821.00,32,31,0
7,Ted,4.5,7.0,7.0,18.5,3,3,1,881.00,35,27,1
7,Peter,4.5,4.0,3.5,12.0,3,3,1,792.00,23,39,1
7,Lanny,2.5,2.0,3.5,8.0,2,5,0,762.00,23,39,1
7,John,1.0,3.0,2.0,6.0,0,7,0,772.00,21,42,0
7,Ty,2.5,1.0,1.0,4.5,2,5,0,758.00,20,40,3
8,Tyler,8.5,10.0,9.5,28.0,6,2,0,1058.00,47,23,2
8,Ben,10.0,8.0,8.0,26.0,7,1,0,1028.00,44,27,1
8,Joey,6.5,9.0,9.5,25.0,4,4,0,1038.00,47,24,1
8,Vernon,8.5,6.0,7.0,21.5,6,2,0,959.00,40,32,0
8,Matt,6.5,5.0,5.5,17.0,4,4,0,941.00,37,35,0
8,Ted,4.0,7.0,5.5,16.5,3,4,1,973.00,37,34,1
8,Peter,4.0,4.0,3.0,11.0,3,4,1,928.00,29,42,1
8,Lanny,4.0,2.0,2.0,8.0,3,5,0,836.00,24,47,1
8,John,1.0,3.0,4.0,8.0,1,7,0,924.00,30,42,0
8,Ty,2.0,1.0,1.0,4.0,2,6,0,819.00,20,49,3
9,Ben,10.0,10.0,8.5,28.5,8,1,0,1201.00,53,27,1
9,Tyler,8.0,9.0,10.0,27.0,6,3,0,1196.00,54,25,2
9,Joey,6.0,8.0,8.5,22.5,4,5,0,1172.00,53,27,1
9,Vernon,9.0,6.0,7.0,22.0,7,2,0,1084.00,45,36,0
9,Ted,3.0,7.0,6.0,16.0,3,5,1,1091.00,40,40,1
9,Matt,6.0,4.0,4.5,14.5,4,5,0,1043.00,38,43,0
9,John,1.0,5.0,4.5,10.5,2,7,0,1076.00,38,43,0
9,Lanny,6.0,2.0,2.0,10.0,4,5,0,958.00,28,52,1
9,Peter,3.0,3.0,3.0,9.0,3,5,1,1006.00,29,51,1
9,Ty,3.0,1.0,1.0,5.0,3,6,0,925.00,22,56,3
10,Tyler,8.0,10.0,9.5,27.5,6,4,0,1308.00,60,28,2
10,Ben,9.5,9.0,8.0,26.5,8,2,0,1299.00,55,34,1
10,Joey,6.5,8.0,9.5,24.0,5,5,0,1286.00,60,29,1
10,Vernon,9.5,7.0,7.0,23.5,8,2,0,1203.00,54,36,0
10,John,2.0,6.0,6.0,14.0,3,7,0,1191.00,46,44,0
10,Matt,4.5,3.5,4.0,12.0,4,6,0,1115.00,39,51,0
10,Ted,2.0,5.0,5.0,12.0,3,6,1,1155.00,40,49,1
10,Peter,4.5,3.5,3.0,11.0,4,5,1,1115.00,34,55,1
10,Lanny,6.5,2.0,2.0,10.5,5,5,0,1057.00,31,58,1
10,Ty,2.0,1.0,1.0,4.0,3,7,0,1027.00,26,61,3
11,Tyler,8.0,10.0,10.0,28.0,6,5,0,1416.00,63,34,2
11,Ben,10.0,9.0,7.0,26.0,9,2,0,1414.00,59,38,2
11,Vernon,9.0,7.0,8.0,24.0,8,3,0,1329.00,60,39,0
11,Joey,6.0,8.0,9.0,23.0,5,6,0,1375.00,62,36,1
11,John,2.5,6.0,6.0,14.5,4,7,0,1306.00,50,48,1
11,Peter,6.0,4.0,4.0,14.0,5,5,1,1247.00,41,57,1
11,Ted,2.5,5.0,5.0,12.5,4,6,1,1298.00,49,49,1
11,Matt,2.5,3.0,3.0,8.5,4,7,0,1202.00,40,59,0
11,Lanny,6.0,1.0,1.0,8.0,5,6,0,1142.00,31,67,1
11,Ty,2.5,2.0,2.0,6.5,4,7,0,1164.00,34,62,3
12,Tyler,8.0,10.0,10.0,28.0,7,5,0,1564.00,71,34,3
12,Joey,7.0,9.0,9.0,25.0,6,6,0,1523.00,70,36,2
