Week,Manager,Record Rank,Points Rank,Breakdown Rank,Total Rank,Wins,Losses,Ties,Total Points,Theoretical Wins,Theoretical Losses,Theoretical Ties
1,Tyler,8.0,10.0,10.0,28.0,1,0,0,167.40,9,0,0
1,Ben,8.0,8.0,8.0,24.0,1,0,0,156.36,7,2,0
1,Peter,8.0,7.0,7.0,22.0,1,0,0,143.16,6,3,0
1,Joey,3.0,9.0,9.0,21.0,0,1,0,158.50,8,1,0
1,Vernon,8.0,5.0,5.0,18.0,1,0,0,119.68,4,5,0
1,Matt,8.0,4.0,4.0,16.0,1,0,0,116.76,3,6,0
1,Ted,3.0,6.0,6.0,15.0,0,1,0,125.26,5,4,0
1,Jason,3.0,3.0,3.0,9.0,0,1,0,110.94,2,7,0
1,Lanny,3.0,2.0,2.0,7.0,0,1,0,107.06,1,8,0
1,John,3.0,1.0,1.0,5.0,0,1,0,99.40,0,9,0
2,Ben,9.5,10.0,10.0,29.5,2,0,0,335.52,16,2,0
2,Ted,5.5,7.0,8.5,21.0,1,1,0,284.08,12,6,0
2,Tyler,5.5,8.0,7.0,20.5,1,1,0,290.44,11,7,0
2,Joey,1.5,9.0,8.5,19.0,0,2,0,300.76,12,6,0
2,Vernon,9.5,4.0,4.0,17.5,2,0,0,253.88,7,11,0
2,Lanny,5.5,6.0,6.0,17.5,1,1,0,273.08,9,9,0
2,Jason,5.5,5.0,5.0,15.5,1,1,0,265.10,8,10,0
2,Peter,5.5,2.0,3.0,10.5,1,1,0,244.18,6,12,0
2,Matt,5.5,1.0,1.0,7.5,1,1,0,235.52,4,14,0
2,John,1.5,3.0,2.0,6.5,0,2,0,253.16,5,13,0
3,Ben,9.5,10.0,10.0,29.5,3,0,0,514.96,25,2,0
3,Lanny,7.0,9.0,8.0,24.0,2,1,0,447.00,16,11,0
3,Jason,7.0,8.0,8.0,23.0,2,1,0,440.12,16,11,0
3,Vernon,9.5,6.0,5.5,21.0,3,0,0,420.46,13,14,0
3,Joey,1.5,7.0,8.0,16.5,0,3,0,430.84,16,11,0
3,Tyler,4.0,4.0,5.5,13.5,1,2,0,397.40,13,14,0
3,Ted,4.0,3.0,4.0,11.0,1,2,0,365.62,12,15,0
3,Peter,7.0,2.0,2.0,11.0,2,1,0,362.88,9,18,0
3,John,1.5,5.0,3.0,9.5,0,3,0,406.38,10,17,0
3,Matt,4.0,1.0,1.0,6.0,1,2,0,333.54,5,22,0
4,Ben,9.5,10.0,10.0,29.5,4,0,0,667.12,33,3,0
4,Vernon,9.5,9.0,9.0,27.5,4,0,0,606.54,22,14,0
4,Joey,2.5,8.0,7.5,18.0,1,3,0,574.24,19,17,0
4,Lanny,6.5,6.0,5.0,17.5,2,2,0,545.00,17,19,0
4,Ted,6.5,3.0,7.5,17.0,2,2,0,515.50,19,17,0
4,Jason,6.5,4.0,4.0,14.5,2,2,0,526.30,16,20,0
4,Tyler,2.5,5.0,6.0,13.5,1,3,0,541.82,18,18,0
4,John,2.5,7.0,3.0,12.5,1,3,0,549.86,14,22,0
4,Peter,6.5,1.0,1.5,9.0,2,2,0,463.60,11,25,0
4,Matt,2.5,2.0,1.5,6.0,1,3,0,480.98,11,25,0
5,Ben,9.5,10.0,10.0,29.5,4,1,0,761.24,33,12,0
5,Vernon,9.5,9.0,6.5,25.0,4,1,0,718.06,24,21,0
5,Lanny,7.5,6.0,8.5,22.0,3,2,0,684.82,25,20,0
5,Jason,7.5,5.0,8.5,21.0,3,2,0,670.22,25,20,0
5,Joey,4.0,8.0,4.5,16.5,2,3,0,688.04,22,23,0
5,John,4.0,7.0,3.0,14.0,2,3,0,686.10,21,24,0
5,Ted,4.0,3.0,6.5,13.5,2,3,0,646.72,24,21,0
5,Tyler,4.0,4.0,4.5,12.5,2,3,0,669.18,22,23,0
5,Peter,4.0,2.0,2.0,8.0,2,3,0,599.34,17,28,0
5,Matt,1.0,1.0,1.0,3.0,1,4,0,587.96,12,33,0
6,Ben,9.0,10.0,10.0,29.0,4,2,0,876.94,39,15,0
6,Vernon,9.0,9.0,7.0,25.0,4,2,0,831.26,28,26,0
6,Tyler,5.5,8.0,8.5,22.0,3,3,0,800.00,30,24,0
6,Jason,9.0,4.0,8.5,21.5,4,2,0,783.46,30,24,0
6,Joey,5.5,7.0,5.0,17.5,3,3,0,794.78,25,29,0
6,Lanny,5.5,5.0,6.0,16.5,3,3,0,789.14,26,28,0
6,John,2.0,6.0,2.0,10.0,2,4,0,791.60,23,31,0
6,Peter,5.5,1.0,3.5,10.0,3,3,0,729.50,24,30,0
6,Ted,2.0,3.0,3.5,8.5,2,4,0,738.78,24,30,0
6,Matt,2.0,2.0,1.0,5.0,2,4,0,737.82,21,33,0
7,Ben,9.5,10.0,10.0,29.5,5,2,0,1017.42,44,19,0
7,Jason,9.5,8.0,9.0,26.5,5,2,0,950.52,38,25,0
7,Vernon,8.0,9.0,7.0,24.0,4,3,0,967.44,32,31,0
7,Ted,4.0,6.0,8.0,18.0,3,4,0,915.64,33,30,0
7,John,4.0,7.0,5.0,16.0,3,4,0,943.44,30,33,0
7,Tyler,4.0,3.0,5.0,12.0,3,4,0,893.28,30,33,0
7,Lanny,4.0,4.0,3.0,11.0,3,4,0,903.46,29,34,0
7,Peter,4.0,2.0,5.0,11.0,3,4,0,876.84,30,33,0
7,Joey,4.0,5.0,2.0,11.0,3,4,0,908.04,27,36,0
7,Matt,4.0,1.0,1.0,6.0,3,4,0,840.46,22,41,0
8,Ben,8.5,10.0,10.0,28.5,5,3,0,1148.82,50,22,0
8,Jason,10.0,8.0,8.5,26.5,6,2,0,1068.80,41,31,0
8,Vernon,8.5,9.0,8.5,26.0,5,3,0,1103.06,41,31,0
8,Lanny,6.0,6.0,6.0,18.0,4,4,0,1038.44,37,35,0
8,Joey,6.0,7.0,4.5,17.5,4,4,0,1042.44,34,38,0
8,Ted,2.5,5.0,7.0,14.5,3,5,0,1035.62,38,34,0
8,Peter,6.0,3.0,4.5,13.5,4,4,0,996.48,34,38,0
8,John,2.5,4.0,2.0,8.5,3,5,0,998.34,30,42,0
8,Tyler,2.5,2.0,3.0,7.5,3,5,0,972.26,31,41,0
8,Matt,2.5,1.0,1.0,4.5,3,5,0,937.46,24,48,0
