Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Ben,8.0,10.0,10.0,28.0
Tyler,8.0,9.0,9.0,26.0
Peter,8.0,8.0,8.0,24.0
Joey,8.0,6.0,6.0,20.0
Vernon,3.0,7.0,7.0,17.0
Matt,3.0,5.0,5.0,13.0
Lanny,8.0,2.0,2.0,12.0
Ted,3.0,4.0,4.0,11.0
John,3.0,3.0,3.0,9.0
Ty,3.0,1.0,1.0,5.0

Week 2
Traditional Ranking,Record,Points,Breakdown,Total
Ben,8.5,10.0,10.0,28.5
Peter,5.5,9.0,8.5,23.0
Tyler,8.5,8.0,6.0,22.5
Lanny,8.5,6.5,6.0,21.0
Joey,8.5,4.0,8.5,21.0
John,2.5,6.5,6.0,15.0
Ted,5.5,3.0,4.0,12.5
Vernon,2.5,5.0,2.5,10.0
Matt,2.5,2.0,2.5,7.0
Ty,2.5,1.0,1.0,4.5

Week 3
Traditional Ranking,Record,Points,Breakdown,Total
Ben,9.0,10.0,10.0,29.0
Tyler,9.0,8.0,7.5,24.5
Lanny,7.0,7.0,9.0,23.0
Vernon,5.0,9.0,7.5,21.5
Joey,9.0,3.0,5.5,17.5
Ted,5.0,5.0,5.5,15.5
Peter,5.0,6.0,4.0,15.0
John,2.0,4.0,3.0,9.0
Matt,2.0,2.0,2.0,6.0
Ty,2.0,1.0,1.0,4.0

Week 4
Traditional Ranking,Record,Points,Breakdown,Total
Ben,9.5,10.0,10.0,29.5
Lanny,7.5,9.0,9.0,25.5
Tyler,9.5,7.0,7.5,24.0
Ted,4.0,6.0,7.5,17.5
Joey,7.5,4.0,6.0,17.5
Vernon,4.0,8.0,5.0,17.0
John,4.0,5.0,4.0,13.0
Peter,4.0,3.0,3.0,10.0
Ty,4.0,1.0,1.0,6.0
Matt,1.0,2.0,2.0,5.0

Week 5
Traditional Ranking,Record,Points,Breakdown,Total
Ben,9.0,10.0,9.0,28.0
Lanny,9.0,9.0,10.0,28.0
Tyler,9.0,6.0,5.5,20.5
Ted,5.0,7.0,8.0,20.0
Vernon,5.0,8.0,7.0,20.0
Peter,5.0,4.0,5.5,14.5
Joey,7.0,3.0,4.0,14.0
John,2.0,5.0,3.0,10.0
Matt,2.0,2.0,2.0,6.0
Ty,2.0,1.0,1.0,4.0

Week 6
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,9.5,10.0,10.0,29.5
Ben,8.0,9.0,9.0,26.0
Tyler,9.5,6.0,7.0,22.5
Ted,6.5,7.0,8.0,21.5
Vernon,3.5,8.0,5.5,17.0
Joey,6.5,2.0,5.5,14.0
Matt,3.5,4.0,3.0,10.5
Peter,3.5,3.0,4.0,10.5
John,1.0,5.0,2.0,8.0
Ty,3.5,1.0,1.0,5.5

Week 7
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,9.5,10.0,10.0,29.5
Ben,7.5,9.0,9.0,25.5
Ted,7.5,7.0,8.0,22.5
Tyler,9.5,3.0,6.0,18.5
Vernon,2.5,8.0,6.0,16.5
Peter,5.5,4.5,6.0,16.0
John,2.5,6.0,4.0,12.5
Matt,2.5,4.5,3.0,10.0
Joey,5.5,2.0,2.0,9.5
Ty,2.5,1.0,1.0,4.5

Week 8
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,10.0,10.0,10.0,30.0
Ben,6.0,9.0,9.0,24.0
Ted,8.0,7.0,8.0,23.0
Peter,6.0,6.0,7.0,19.0
Vernon,2.0,8.0,6.0,16.0
Tyler,9.0,3.0,3.0,15.0
Matt,4.0,5.0,5.0,14.0
Joey,6.0,2.0,3.0,11.0
John,2.0,4.0,3.0,9.0
Ty,2.0,1.0,1.0,4.0

Week 9
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,10.0,10.0,10.0,30.0
Ben,4.5,9.0,8.5,22.0
Peter,7.0,6.0,8.5,21.5
Ted,7.0,5.0,7.0,19.0
Matt,4.5,7.0,6.0,17.5
Tyler,9.0,4.0,4.0,17.0
Vernon,2.0,8.0,5.0,15.0
Joey,7.0,2.0,3.0,12.0
John,2.0,3.0,2.0,7.0
Ty,2.0,1.0,1.0,4.0

Week 10
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,10.0,10.0,10.0,30.0
Ben,4.0,8.0,9.0,21.0
Peter,6.0,6.0,8.0,20.0
Matt,6.0,7.0,6.0,19.0
Tyler,9.0,5.0,5.0,19.0
Vernon,1.5,9.0,7.0,17.5
Ted,6.0,4.0,4.0,14.0
Joey,8.0,2.0,3.0,13.0
John,3.0,3.0,2.0,8.0
Ty,1.5,1.0,1.0,3.5

Week 11
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,9.5,10.0,10.0,29.5
Ben,3.5,8.0,8.5,20.0
Peter,6.5,5.0,8.5,20.0
Joey,8.0,7.0,5.0,20.0
Ted,6.5,4.0,6.5,17.0
Vernon,1.5,9.0,6.5,17.0
Tyler,9.5,3.0,3.0,15.5
Matt,5.0,6.0,4.0,15.0
John,3.5,2.0,2.0,7.5
Ty,1.5,1.0,1.0,3.5

Week 12
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,9.5,10.0,10.0,29.5
Joey,8.0,8.0,8.0,24.0
Peter,7.0,7.0,9.0,23.0
Matt,5.5,5.0,6.5,17.0
Ted,5.5,4.0,6.5,16.0
Vernon,2.0,9.0,4.5,15.5
Tyler,9.5,3.0,3.0,15.5
Ben,3.0,6.0,4.5,13.5
John,4.0,2.0,2.0,8.0
Ty,1.0,1.0,1.0,3.0

Week 13
Traditional Ranking,Record,Points,Breakdown,Total
Lanny,8.5,10.0,10.0,28.5
Joey,8.5,8.0,8.0,24.5
Peter,6.5,7.0,9.0,22.5
Tyler,10.0,4.0,5.0,19.0
Matt,6.5,6.0,6.0,18.5
Vernon,2.5,9.0,7.0,18.5
Ted,4.5,3.0,3.5,11.0
Ben,2.5,5.0,3.5,11.0
John,4.5,2.0,2.0,8.5
Ty,1.0,1.0,1.0,3.0

